taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
green,2,2017-01-01T00:00:16.000+08:00,2017-01-01T00:06:17.000+08:00,N,1,117,117,,,,,1,1.82,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,1,1,1,0,0,16,2017-01-01,2017,1,1,0,6,17,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Queens,Hammels/Arverne,Boro Zone,Queens,Hammels/Arverne,Boro Zone
green,2,2017-01-01T00:00:51.000+08:00,2017-01-01T00:18:55.000+08:00,N,1,166,239,,,,,1,2.76,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1,1,0,0,51,2017-01-01,2017,1,1,0,18,55,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Morningside Heights,Boro Zone,Manhattan,Upper West Side South,Yellow Zone
green,2,2017-01-01T00:02:02.000+08:00,2017-01-01T00:15:39.000+08:00,N,1,166,263,,,,,1,2.88,12.5,0.5,0.5,1.5,0.0,,0.3,15.3,1,1,1,0,2,2,2017-01-01,2017,1,1,0,15,39,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Manhattan,Morningside Heights,Boro Zone,Manhattan,Yorkville West,Yellow Zone
green,2,2017-01-01T00:25:31.000+08:00,2017-01-01T00:33:16.000+08:00,N,1,95,95,,,,,1,1.66,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,1,0,25,31,2017-01-01,2017,1,1,0,33,16,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Forest Hills,Boro Zone,Queens,Forest Hills,Boro Zone
green,2,2017-01-01T00:01:22.000+08:00,2017-01-01T00:07:57.000+08:00,N,1,41,43,,,,,1,1.18,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1,1,0,1,22,2017-01-01,2017,1,1,0,7,57,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Central Park,Yellow Zone
green,2,2017-01-01T00:01:35.000+08:00,2017-01-01T00:16:09.000+08:00,N,1,189,106,,,,,1,2.46,12.0,0.5,0.5,2.66,0.0,,0.3,15.96,1,1,1,0,1,35,2017-01-01,2017,1,1,0,16,9,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Brooklyn,Prospect Heights,Boro Zone,Brooklyn,Gowanus,Boro Zone
green,2,2017-01-01T00:59:37.000+08:00,2017-01-01T01:04:03.000+08:00,N,1,17,225,,,,,1,1.07,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1,1,0,59,37,2017-01-01,2017,1,1,1,4,3,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Bedford,Boro Zone,Brooklyn,Stuyvesant Heights,Boro Zone
green,2,2017-01-01T00:21:16.000+08:00,2017-01-01T00:40:59.000+08:00,N,1,181,13,,,,,1,6.49,21.0,0.5,0.5,0.0,0.0,,0.3,22.3,2,1,1,0,21,16,2017-01-01,2017,1,1,0,40,59,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Park Slope,Boro Zone,Manhattan,Battery Park City,Yellow Zone
green,2,2017-01-01T00:21:26.000+08:00,2017-01-01T00:22:22.000+08:00,N,1,95,95,,,,,2,0.08,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,2,1,1,0,21,26,2017-01-01,2017,1,1,0,22,22,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Forest Hills,Boro Zone,Queens,Forest Hills,Boro Zone
green,2,2017-01-01T00:38:17.000+08:00,2017-01-01T00:48:07.000+08:00,N,1,173,129,,,,,1,1.43,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,1,0,38,17,2017-01-01,2017,1,1,0,48,7,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,North Corona,Boro Zone,Queens,Jackson Heights,Boro Zone
green,2,2017-01-01T00:00:50.000+08:00,2017-01-01T00:30:28.000+08:00,N,1,228,140,,,,,1,11.91,34.0,0.5,0.5,0.0,0.0,,0.3,35.3,1,1,1,0,0,50,2017-01-01,2017,1,1,0,30,28,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Brooklyn,Sunset Park West,Boro Zone,Manhattan,Lenox Hill East,Yellow Zone
green,2,2017-01-01T00:02:31.000+08:00,2017-01-01T00:10:26.000+08:00,N,1,226,83,,,,,1,1.71,8.0,0.5,0.5,2.32,0.0,,0.3,11.62,1,1,1,0,2,31,2017-01-01,2017,1,1,0,10,26,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Queens,Sunnyside,Boro Zone,Queens,Elmhurst/Maspeth,Boro Zone
green,2,2017-01-01T00:49:08.000+08:00,2017-01-01T01:00:54.000+08:00,N,1,181,228,,,,,1,2.0,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1,1,0,49,8,2017-01-01,2017,1,1,1,0,54,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Park Slope,Boro Zone,Brooklyn,Sunset Park West,Boro Zone
green,2,2017-01-01T00:37:15.000+08:00,2017-01-01T00:45:06.000+08:00,N,1,260,179,,,,,1,3.54,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2,1,1,0,37,15,2017-01-01,2017,1,1,0,45,6,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Woodside,Boro Zone,Queens,Old Astoria,Boro Zone
green,2,2017-01-01T00:26:50.000+08:00,2017-01-01T00:41:03.000+08:00,N,1,145,7,,,,,2,3.63,13.5,0.5,0.5,2.96,0.0,,0.3,17.76,1,1,1,0,26,50,2017-01-01,2017,1,1,0,41,3,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Queens,Long Island City/Hunters Point,Boro Zone,Queens,Astoria,Boro Zone
green,2,2017-01-01T00:21:12.000+08:00,2017-01-01T00:38:57.000+08:00,N,1,244,142,,,,,1,6.23,20.5,0.5,0.5,3.0,0.0,,0.3,24.8,1,1,1,0,21,12,2017-01-01,2017,1,1,0,38,57,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Manhattan,Washington Heights South,Boro Zone,Manhattan,Lincoln Square East,Yellow Zone
green,2,2017-01-01T00:26:09.000+08:00,2017-01-01T00:38:03.000+08:00,N,1,256,106,,,,,1,5.48,17.0,0.5,0.5,3.29,0.0,,0.3,21.59,1,1,1,0,26,9,2017-01-01,2017,1,1,0,38,3,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Brooklyn,Williamsburg (South Side),Boro Zone,Brooklyn,Gowanus,Boro Zone
green,2,2017-01-01T00:09:41.000+08:00,2017-01-01T00:12:51.000+08:00,N,1,181,181,,,,,1,0.66,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1,1,0,9,41,2017-01-01,2017,1,1,0,12,51,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Park Slope,Boro Zone,Brooklyn,Park Slope,Boro Zone
green,2,2017-01-01T00:03:34.000+08:00,2017-01-01T00:09:00.000+08:00,N,1,75,74,,,,,1,1.44,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1,1,0,3,34,2017-01-01,2017,1,1,0,9,0,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,East Harlem South,Boro Zone,Manhattan,East Harlem North,Boro Zone
green,2,2017-01-01T00:02:17.000+08:00,2017-01-01T00:19:44.000+08:00,N,1,37,63,,,,,1,4.47,16.0,0.5,0.5,0.0,0.0,,0.3,17.3,2,1,1,0,2,17,2017-01-01,2017,1,1,0,19,44,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Bushwick South,Boro Zone,Brooklyn,Cypress Hills,Boro Zone
green,2,2017-01-01T00:32:32.000+08:00,2017-01-01T00:46:08.000+08:00,N,1,74,147,,,,,1,3.22,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2,1,1,0,32,32,2017-01-01,2017,1,1,0,46,8,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,East Harlem North,Boro Zone,Bronx,Longwood,Boro Zone
