taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
green,2,2017-05-01T00:57:33.000+08:00,2017-05-01T01:00:30.000+08:00,N,1,179,179,,,,,1,0.61,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1,1,0,57,33,2017-05-01,2017,5,1,1,0,30,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Old Astoria,Boro Zone,Queens,Old Astoria,Boro Zone
green,2,2017-05-01T00:24:10.000+08:00,2017-05-01T00:26:34.000+08:00,N,1,7,179,,,,,1,0.63,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1,1,0,24,10,2017-05-01,2017,5,1,0,26,34,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Astoria,Boro Zone,Queens,Old Astoria,Boro Zone
green,2,2017-05-01T00:44:46.000+08:00,2017-05-01T00:53:55.000+08:00,N,1,92,9,,,,,1,2.43,10.0,0.5,0.5,2.26,0.0,,0.3,13.56,1,1,1,0,44,46,2017-05-01,2017,5,1,0,53,55,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Queens,Flushing,Boro Zone,Queens,Auburndale,Boro Zone
green,2,2017-05-01T00:03:17.000+08:00,2017-05-01T00:14:40.000+08:00,N,1,7,129,,,,,1,2.48,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1,1,0,3,17,2017-05-01,2017,5,1,0,14,40,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Astoria,Boro Zone,Queens,Jackson Heights,Boro Zone
green,2,2017-05-01T00:28:11.000+08:00,2017-05-01T00:59:00.000+08:00,N,1,49,179,,,,,1,7.2,25.0,0.5,0.5,5.26,0.0,,0.3,31.56,1,1,1,0,28,11,2017-05-01,2017,5,1,0,59,0,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Brooklyn,Clinton Hill,Boro Zone,Queens,Old Astoria,Boro Zone
green,2,2017-05-01T00:32:30.000+08:00,2017-05-01T00:55:33.000+08:00,N,1,260,193,,,,,1,3.86,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2,1,1,0,32,30,2017-05-01,2017,5,1,0,55,33,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Woodside,Boro Zone,Queens,Queensbridge/Ravenswood,Boro Zone
green,2,2017-05-01T00:11:19.000+08:00,2017-05-01T00:16:24.000+08:00,N,1,36,36,,,,,1,0.91,5.5,0.5,0.5,1.2,0.0,,0.3,8.0,1,1,1,0,11,19,2017-05-01,2017,5,1,0,16,24,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Brooklyn,Bushwick North,Boro Zone,Brooklyn,Bushwick North,Boro Zone
green,2,2017-05-01T00:01:04.000+08:00,2017-05-01T00:08:20.000+08:00,N,1,74,74,,,,,1,0.75,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1,1,0,1,4,2017-05-01,2017,5,1,0,8,20,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Manhattan,East Harlem North,Boro Zone,Manhattan,East Harlem North,Boro Zone
green,2,2017-05-01T00:17:34.000+08:00,2017-05-01T00:23:22.000+08:00,N,1,41,42,,,,,1,1.53,7.0,0.5,0.5,2.49,0.0,,0.3,10.79,1,1,1,0,17,34,2017-05-01,2017,5,1,0,23,22,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Central Harlem North,Boro Zone
green,2,2017-05-01T00:40:32.000+08:00,2017-05-01T00:46:06.000+08:00,N,1,82,82,,,,,1,1.22,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,1,1,1,0,40,32,2017-05-01,2017,5,1,0,46,6,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Elmhurst,Boro Zone
green,2,2017-05-01T00:04:49.000+08:00,2017-05-01T00:14:46.000+08:00,N,1,129,7,,,,,3,2.2,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2,1,1,0,4,49,2017-05-01,2017,5,1,0,14,46,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Jackson Heights,Boro Zone,Queens,Astoria,Boro Zone
green,2,2017-05-01T00:40:23.000+08:00,2017-05-01T00:51:30.000+08:00,N,5,168,159,,,,,2,1.3,7.0,0.0,0.0,0.0,0.0,,0.0,7.0,2,2,1,0,40,23,2017-05-01,2017,5,1,0,51,30,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Negotiated fare,Bronx,Mott Haven/Port Morris,Boro Zone,Bronx,Melrose South,Boro Zone
green,2,2017-05-01T00:24:58.000+08:00,2017-05-01T00:38:29.000+08:00,N,1,256,225,,,,,1,1.45,10.0,0.5,0.5,0.0,0.0,,0.3,11.3,2,1,1,0,24,58,2017-05-01,2017,5,1,0,38,29,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Brooklyn,Williamsburg (South Side),Boro Zone,Brooklyn,Stuyvesant Heights,Boro Zone
green,2,2017-05-01T00:15:33.000+08:00,2017-05-01T00:24:13.000+08:00,N,1,92,192,,,,,1,1.39,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1,1,0,15,33,2017-05-01,2017,5,1,0,24,13,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Flushing,Boro Zone,Queens,Queensboro Hill,Boro Zone
green,2,2017-05-01T00:39:12.000+08:00,2017-05-01T00:43:40.000+08:00,N,1,41,152,,,,,1,0.81,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1,1,0,39,12,2017-05-01,2017,5,1,0,43,40,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Manhattanville,Boro Zone
green,2,2017-05-01T00:51:26.000+08:00,2017-05-01T00:57:24.000+08:00,N,1,41,116,,,,,1,1.64,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1,1,0,51,26,2017-05-01,2017,5,1,0,57,24,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Hamilton Heights,Boro Zone
green,2,2017-05-01T00:28:30.000+08:00,2017-05-01T00:34:03.000+08:00,N,1,75,41,,,,,5,1.54,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,1,1,1,0,28,30,2017-05-01,2017,5,1,0,34,3,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Manhattan,East Harlem South,Boro Zone,Manhattan,Central Harlem,Boro Zone
green,2,2017-05-01T00:00:35.000+08:00,2017-05-01T00:04:42.000+08:00,N,1,255,112,,,,,1,1.02,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,1,1,1,0,0,35,2017-05-01,2017,5,1,0,4,42,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Greenpoint,Boro Zone
green,2,2017-05-01T00:24:17.000+08:00,2017-05-01T00:28:02.000+08:00,N,1,260,260,,,,,5,0.52,4.5,0.5,0.5,1.74,0.0,,0.3,7.54,1,1,1,0,24,17,2017-05-01,2017,5,1,0,28,2,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Queens,Woodside,Boro Zone,Queens,Woodside,Boro Zone
green,2,2017-05-01T00:02:49.000+08:00,2017-05-01T00:07:47.000+08:00,N,1,41,166,,,,,2,1.18,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1,1,0,2,49,2017-05-01,2017,5,1,0,7,47,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Morningside Heights,Boro Zone
green,2,2017-05-01T00:11:36.000+08:00,2017-05-01T00:17:09.000+08:00,N,1,25,54,,,,,1,1.4,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,1,1,1,0,11,36,2017-05-01,2017,5,1,0,17,9,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Brooklyn,Boerum Hill,Boro Zone,Brooklyn,Columbia Street,Boro Zone
green,2,2017-05-01T00:00:07.000+08:00,2017-05-01T00:09:24.000+08:00,N,1,134,197,,,,,2,2.05,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1,1,0,0,7,2017-05-01,2017,5,1,0,9,24,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Kew Gardens,Boro Zone,Queens,Richmond Hill,Boro Zone
green,2,2017-05-01T00:28:17.000+08:00,2017-05-01T00:52:25.000+08:00,N,1,75,33,,,,,1,9.88,30.0,0.5,0.5,6.26,0.0,,0.3,37.56,1,1,1,0,28,17,2017-05-01,2017,5,1,0,52,25,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Manhattan,East Harlem South,Boro Zone,Brooklyn,Brooklyn Heights,Boro Zone
green,2,2017-05-01T00:44:47.000+08:00,2017-05-01T00:57:30.000+08:00,N,5,83,95,,,,,1,2.36,10.0,0.0,0.0,2.0,0.0,,0.0,12.0,1,2,1,0,44,47,2017-05-01,2017,5,1,0,57,30,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Negotiated fare,Queens,Elmhurst/Maspeth,Boro Zone,Queens,Forest Hills,Boro Zone
green,2,2017-05-01T00:17:02.000+08:00,2017-05-01T00:17:47.000+08:00,N,1,130,130,,,,,1,0.2,3.0,0.5,0.5,0.0,0.0,,0.3,4.3,2,1,1,0,17,2,2017-05-01,2017,5,1,0,17,47,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Jamaica,Boro Zone,Queens,Jamaica,Boro Zone
green,2,2017-05-01T00:08:30.000+08:00,2017-05-01T00:18:43.000+08:00,N,1,80,17,,,,,1,2.35,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2,1,1,0,8,30,2017-05-01,2017,5,1,0,18,43,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Brooklyn,East Williamsburg,Boro Zone,Brooklyn,Bedford,Boro Zone
green,2,2017-05-01T00:00:35.000+08:00,2017-05-01T00:15:46.000+08:00,N,1,20,243,,,,,1,3.24,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,2,1,1,0,0,35,2017-05-01,2017,5,1,0,15,46,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Bronx,Belmont,Boro Zone,Manhattan,Washington Heights North,Boro Zone
green,2,2017-05-01T00:00:57.000+08:00,2017-05-01T00:10:10.000+08:00,N,1,134,216,,,,,5,2.3,9.0,0.5,0.5,2.58,0.0,,0.3,12.88,1,1,1,0,0,57,2017-05-01,2017,5,1,0,10,10,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Queens,Kew Gardens,Boro Zone,Queens,South Ozone Park,Boro Zone
green,2,2017-05-01T00:26:04.000+08:00,2017-05-01T00:27:52.000+08:00,N,1,166,41,,,,,1,0.2,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1,1,0,26,4,2017-05-01,2017,5,1,0,27,52,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Manhattan,Morningside Heights,Boro Zone,Manhattan,Central Harlem,Boro Zone
green,2,2017-05-01T00:01:04.000+08:00,2017-05-01T23:30:35.000+08:00,N,1,74,116,,,,,1,2.5,10.0,0.5,0.5,0.0,0.0,,0.3,11.3,1,1,1,0,1,4,2017-05-01,2017,5,1,23,30,35,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Manhattan,East Harlem North,Boro Zone,Manhattan,Hamilton Heights,Boro Zone
green,2,2017-05-01T00:00:12.000+08:00,2017-05-01T00:10:39.000+08:00,N,1,129,173,,,,,5,1.33,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1,1,0,0,12,2017-05-01,2017,5,1,0,10,39,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Jackson Heights,Boro Zone,Queens,North Corona,Boro Zone
green,2,2017-05-01T00:02:52.000+08:00,2017-05-01T00:05:45.000+08:00,N,1,65,65,,,,,5,0.53,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1,1,0,2,52,2017-05-01,2017,5,1,0,5,45,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
green,2,2017-05-01T00:12:35.000+08:00,2017-05-01T00:16:39.000+08:00,N,1,243,244,,,,,1,0.72,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1,1,0,12,35,2017-05-01,2017,5,1,0,16,39,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Manhattan,Washington Heights North,Boro Zone,Manhattan,Washington Heights South,Boro Zone
green,2,2017-05-01T00:07:57.000+08:00,2017-05-01T00:14:32.000+08:00,N,1,260,7,,,,,1,1.68,7.5,0.5,0.5,1.76,0.0,,0.3,10.56,1,1,1,0,7,57,2017-05-01,2017,5,1,0,14,32,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Queens,Woodside,Boro Zone,Queens,Astoria,Boro Zone
green,2,2017-05-01T00:32:38.000+08:00,2017-05-01T00:39:14.000+08:00,N,1,82,82,,,,,1,1.41,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1,1,0,32,38,2017-05-01,2017,5,1,0,39,14,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Elmhurst,Boro Zone
green,2,2017-05-01T00:03:16.000+08:00,2017-05-01T00:23:01.000+08:00,N,1,130,198,,,,,3,6.87,22.0,0.5,0.5,4.66,0.0,,0.3,27.96,1,1,1,0,3,16,2017-05-01,2017,5,1,0,23,1,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Queens,Jamaica,Boro Zone,Queens,Ridgewood,Boro Zone
green,2,2017-05-01T00:43:51.000+08:00,2017-05-02T00:07:26.000+08:00,N,1,7,157,,,,,1,4.61,15.5,0.5,0.5,0.0,0.0,,0.3,16.8,2,1,1,0,43,51,2017-05-01,2017,5,2,0,7,26,2017-05-02,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Queens,Astoria,Boro Zone,Queens,Maspeth,Boro Zone
green,2,2017-05-01T00:01:18.000+08:00,2017-05-01T00:07:25.000+08:00,N,1,33,228,,,,,1,1.7,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1,1,0,1,18,2017-05-01,2017,5,1,0,7,25,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Brooklyn,Brooklyn Heights,Boro Zone,Brooklyn,Sunset Park West,Boro Zone
green,2,2017-05-01T00:11:00.000+08:00,2017-05-01T00:14:49.000+08:00,N,1,134,28,,,,,1,0.9,5.0,0.5,0.5,1.58,0.0,,0.3,7.88,1,1,1,0,11,0,2017-05-01,2017,5,1,0,14,49,2017-05-01,VFI,VeriFone Inc.,May,May,Credit card,Standard rate,Queens,Kew Gardens,Boro Zone,Queens,Briarwood/Jamaica Hills,Boro Zone
green,2,2017-05-01T00:46:14.000+08:00,2017-05-01T01:06:53.000+08:00,N,1,97,37,,,,,1,4.94,18.5,0.5,0.5,0.0,0.0,,0.3,19.8,2,1,1,0,46,14,2017-05-01,2017,5,1,1,6,53,2017-05-01,VFI,VeriFone Inc.,May,May,Cash,Standard rate,Brooklyn,Fort Greene,Boro Zone,Brooklyn,Bushwick South,Boro Zone
