taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
green,2,2016-09-01T00:49:07.000+08:00,2016-09-01T01:00:11.000+08:00,N,1,152,243,,,,,1,3.3,12.5,0.5,0.5,3.45,0.0,,0.3,17.25,1,1,1,0,49,7,2016-09-01,2016,9,1,1,0,11,2016-09-01,VFI,VeriFone Inc.,Sep,September,Credit card,Standard rate,Manhattan,Manhattanville,Boro Zone,Manhattan,Washington Heights North,Boro Zone
green,2,2016-09-01T00:10:26.000+08:00,2016-09-01T00:19:11.000+08:00,N,1,82,160,,,,,1,1.92,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1,1,0,10,26,2016-09-01,2016,9,1,0,19,11,2016-09-01,VFI,VeriFone Inc.,Sep,September,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Middle Village,Boro Zone
green,2,2016-09-01T00:10:04.000+08:00,2016-09-01T00:19:39.000+08:00,N,1,7,223,,,,,4,2.07,9.0,0.5,0.5,2.0,0.0,,0.3,12.3,1,1,1,0,10,4,2016-09-01,2016,9,1,0,19,39,2016-09-01,VFI,VeriFone Inc.,Sep,September,Credit card,Standard rate,Queens,Astoria,Boro Zone,Queens,Steinway,Boro Zone
green,2,2016-09-01T00:02:01.000+08:00,2016-09-01T00:20:04.000+08:00,N,1,225,197,,,,,1,6.7,21.5,0.5,0.5,0.0,0.0,,0.3,22.8,1,1,1,0,2,1,2016-09-01,2016,9,1,0,20,4,2016-09-01,VFI,VeriFone Inc.,Sep,September,Credit card,Standard rate,Brooklyn,Stuyvesant Heights,Boro Zone,Queens,Richmond Hill,Boro Zone
green,2,2016-09-01T00:07:11.000+08:00,2016-09-01T00:16:10.000+08:00,N,1,75,168,,,,,1,3.08,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1,1,0,7,11,2016-09-01,2016,9,1,0,16,10,2016-09-01,VFI,VeriFone Inc.,Sep,September,Cash,Standard rate,Manhattan,East Harlem South,Boro Zone,Bronx,Mott Haven/Port Morris,Boro Zone
green,2,2016-09-01T00:04:59.000+08:00,2016-09-01T00:10:22.000+08:00,N,1,82,129,,,,,1,1.01,6.0,0.5,0.5,1.7,0.0,,0.3,9.0,1,1,1,0,4,59,2016-09-01,2016,9,1,0,10,22,2016-09-01,VFI,VeriFone Inc.,Sep,September,Credit card,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Jackson Heights,Boro Zone
green,2,2016-09-01T00:02:56.000+08:00,2016-09-01T00:26:15.000+08:00,N,1,82,234,,,,,3,7.81,24.0,0.5,0.5,0.0,5.54,,0.3,30.84,2,1,1,0,2,56,2016-09-01,2016,9,1,0,26,15,2016-09-01,VFI,VeriFone Inc.,Sep,September,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Manhattan,Union Sq,Yellow Zone
green,2,2016-09-01T00:58:23.000+08:00,2016-09-01T01:02:39.000+08:00,N,1,7,7,,,,,1,0.76,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1,1,0,58,23,2016-09-01,2016,9,1,1,2,39,2016-09-01,VFI,VeriFone Inc.,Sep,September,Cash,Standard rate,Queens,Astoria,Boro Zone,Queens,Astoria,Boro Zone
green,2,2016-09-01T00:00:57.000+08:00,2016-09-01T00:28:37.000+08:00,N,1,93,43,,,,,2,11.05,33.0,0.5,0.5,6.86,0.0,,0.3,41.16,1,1,1,0,0,57,2016-09-01,2016,9,1,0,28,37,2016-09-01,VFI,VeriFone Inc.,Sep,September,Credit card,Standard rate,Queens,Flushing Meadows-Corona Park,Boro Zone,Manhattan,Central Park,Yellow Zone
green,2,2016-09-01T00:58:28.000+08:00,2016-09-01T01:20:55.000+08:00,N,1,82,198,,,,,1,4.19,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2,1,1,0,58,28,2016-09-01,2016,9,1,1,20,55,2016-09-01,VFI,VeriFone Inc.,Sep,September,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Ridgewood,Boro Zone
