VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

2,2017-03-09 21:30:11,2017-03-09 21:44:20,1,4.06,1,N,148,48,1,14,0.5,0.5,3.06,0,0.3,18.36
2,2017-03-09 21:47:00,2017-03-09 21:58:01,1,2.73,1,N,48,107,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2017-03-09 22:01:08,2017-03-09 22:11:16,1,2.27,1,N,79,162,1,10,0.5,0.5,2.82,0,0.3,14.12
2,2017-03-09 22:16:05,2017-03-10 06:26:11,1,3.86,1,N,237,41,1,12,0.5,0.5,3.99,0,0.3,17.29
2,2017-03-31 06:31:53,2017-03-31 06:41:48,1,3.45,1,N,41,162,2,12,0.5,0.5,0,0,0.3,13.3
1,2017-03-01 00:00:00,2017-03-01 00:14:22,1,2.80,1,N,261,79,1,12.5,0.5,0.5,1,0,0.3,14.8
1,2017-03-01 00:00:00,2017-03-01 00:19:30,1,6.00,1,N,87,142,1,19.5,0.5,0.5,3.5,0,0.3,24.3
1,2017-03-01 00:00:00,2017-03-01 00:34:27,1,8.70,1,N,142,181,1,30,0.5,0.5,7.8,0,0.3,39.1
1,2017-03-01 00:00:00,2017-03-01 00:21:31,1,3.70,1,N,68,141,1,16.5,0.5,0.5,1.5,0,0.3,19.3
2,2017-03-15 00:07:59,2017-03-15 00:38:08,1,4.21,1,N,261,163,1,20.5,0,0.5,4.26,0,0.3,25.56
2,2017-03-01 00:00:00,2017-03-01 00:07:26,1,2.07,1,N,161,113,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2017-03-01 00:00:00,2017-03-01 00:07:51,2,1.26,1,N,170,161,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2017-03-01 00:00:00,2017-03-01 00:10:40,1,2.91,1,N,256,65,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2017-03-01 00:00:00,2017-03-01 06:46:27,1,4.70,1,N,132,10,1,15.5,0.3,0.5,0,0,0.3,16.6
2,2017-03-01 00:00:00,2017-03-01 00:00:00,5,1.86,1,N,132,50,1,19,0,0.5,2.97,0,0.3,22.77
2,2017-03-01 00:00:00,2017-03-01 00:00:00,5,9.88,1,N,138,25,1,36.5,1,0.5,7.66,0,0.3,45.96
1,2017-03-01 00:00:01,2017-03-01 00:30:30,3,9.40,1,N,45,116,1,29,0.5,0.5,9.05,0,0.3,39.35
2,2017-03-01 00:00:01,2017-03-01 00:06:09,1,.83,1,N,100,230,1,6,0.5,0.5,1.82,0,0.3,9.12
1,2017-03-01 00:00:02,2017-03-01 00:25:33,1,5.70,1,N,170,223,1,21.5,0.5,0.5,4.55,0,0.3,27.35
2,2017-03-01 00:00:02,2017-03-01 00:10:41,1,2.43,1,N,79,161,1,10.5,0.5,0.5,2.95,0,0.3,14.75
2,2017-03-01 00:00:02,2017-03-01 00:14:32,2,3.63,1,N,140,24,1,14,0.5,0.5,3.82,0,0.3,19.12
