VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2017-07-01 00:06:25,2017-07-01 00:10:50,1,1.20,1,N,249,90,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,2017-07-01 00:20:04,2017-07-01 00:21:38,2,.20,1,N,249,158,2,3,0.5,0.5,0,0,0.3,4.3
1,2017-07-01 00:44:10,2017-07-01 00:59:29,1,4.30,1,N,100,45,1,15.5,0.5,0.5,3.35,0,0.3,20.15
1,2017-07-01 00:07:33,2017-07-01 00:31:30,1,8.30,1,N,138,162,1,27,0.5,0.5,6.8,5.76,0.3,40.86
1,2017-07-01 00:01:17,2017-07-01 00:16:18,1,1.90,1,N,107,158,1,10.5,0.5,0.5,0,0,0.3,11.8
1,2017-07-01 00:23:32,2017-07-01 00:43:23,2,4.70,1,N,158,263,1,17,0.5,0.5,3,0,0.3,21.3
1,2017-07-01 00:30:49,2017-07-01 00:46:56,3,2.30,1,N,246,162,1,12,0.5,0.5,2.65,0,0.3,15.95
1,2017-07-01 00:04:21,2017-07-01 00:25:37,1,5.40,1,N,17,90,1,19,0.5,0.5,2,0,0.3,22.3
1,2017-07-01 00:12:29,2017-07-01 00:21:54,2,1.60,1,N,170,237,2,8,0.5,0.5,0,0,0.3,9.3
1,2017-07-01 00:40:17,2017-07-01 00:56:21,3,2.60,1,N,163,90,1,12,0.5,0.5,3.3,0,0.3,16.6
1,2017-07-01 00:24:07,2017-07-01 00:28:31,1,1.10,1,N,142,143,1,5.5,0.5,0.5,1,0,0.3,7.8
1,2017-07-01 00:48:44,2017-07-01 01:13:48,1,5.90,1,N,137,17,1,21.5,0.5,0.5,4.55,0,0.3,27.35
1,2017-07-01 00:01:37,2017-07-01 00:17:24,1,6.90,1,N,132,76,2,22,0.5,0.5,0,0,0.3,23.3
1,2017-07-01 00:57:13,2017-07-01 01:41:38,1,20.30,1,N,132,61,1,57.5,0.5,0.5,14.7,0,0.3,73.5
1,2017-07-01 00:39:07,2017-07-01 00:47:30,2,2.00,1,N,144,66,1,9,0.5,0.5,2.05,0,0.3,12.35
2,2017-07-01 00:26:22,2017-07-01 00:34:09,1,1.15,1,N,114,231,2,7,0.5,0.5,0,0,0.3,8.3
2,2017-07-01 00:39:14,2017-07-01 00:53:06,1,2.66,1,N,231,246,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2017-07-01 00:59:33,2017-07-01 01:27:45,1,7.97,1,N,158,116,1,27.5,0.5,0.5,2,0,0.3,30.8
1,2017-07-01 00:18:21,2017-07-01 00:26:11,1,1.50,1,N,161,142,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2017-07-01 00:40:50,2017-07-01 00:50:31,4,1.70,1,N,161,186,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2017-07-01 00:53:02,2017-07-01 00:56:37,2,.50,1,N,186,68,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2017-07-01 00:59:16,2017-07-01 01:04:00,1,1.20,1,N,68,48,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-07-01 00:41:22,2017-07-01 01:09:59,1,18.20,1,N,132,147,1,48.5,0.5,0.5,11.1,5.76,0.3,66.66
2,2017-07-01 00:34:23,2017-07-01 00:51:38,5,13.16,1,N,132,16,2,35.5,0.5,0.5,0,0,0.3,36.8
2,2017-07-01 00:24:10,2017-07-01 00:40:54,1,3.10,1,N,148,13,1,14,0.5,0.5,2.3,0,0.3,17.6
2,2017-07-01 00:49:00,2017-07-01 00:52:50,1,.82,1,N,13,158,2,5,0.5,0.5,0,0,0.3,6.3
1,2017-07-01 00:24:08,2017-07-01 00:43:31,3,4.00,1,N,233,74,2,16,0.5,0.5,0,0,0.3,17.3
1,2017-07-01 00:55:07,2017-07-01 01:12:08,1,4.90,1,N,237,223,1,17.5,0.5,0.5,4.7,0,0.3,23.5
1,2017-07-01 00:23:51,2017-07-01 00:28:15,1,1.00,1,N,231,13,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2017-07-01 00:36:37,2017-07-01 01:06:38,1,7.60,1,N,13,188,1,26.5,0.5,0.5,5.55,0,0.3,33.35
1,2017-07-01 00:30:20,2017-07-01 00:36:31,2,.80,1,N,79,113,1,5.5,0.5,0.5,0.01,0,0.3,6.81
1,2017-07-01 00:41:41,2017-07-01 01:21:20,1,19.50,1,N,114,210,1,54,0.5,0.5,15.25,5.85,0.3,76.4
2,2017-07-01 00:26:50,2017-07-01 00:50:22,1,5.95,1,N,263,223,1,21,0.5,0.5,5.58,0,0.3,27.88
2,2017-07-01 00:01:45,2017-07-01 00:21:35,1,1.71,1,N,230,161,2,13,0.5,0.5,0,0,0.3,14.3
2,2017-07-01 00:43:47,2017-07-01 00:50:00,1,.82,1,N,230,100,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2017-07-01 00:53:33,2017-07-01 01:14:53,1,5.65,1,N,186,74,1,20,0.5,0.5,2,0,0.3,23.3
2,2017-07-01 00:11:15,2017-07-01 00:32:44,2,3.99,1,N,238,170,1,16.5,0.5,0.5,3.56,0,0.3,21.36
2,2017-07-01 00:34:01,2017-07-01 00:53:39,2,2.81,1,N,170,232,1,14,0.5,0.5,2,0,0.3,17.3
2,2017-07-01 00:24:19,2017-07-01 00:45:13,1,4.41,1,N,226,48,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2017-07-01 00:53:19,2017-07-01 01:09:39,1,2.78,1,N,230,113,1,12.5,0.5,0.5,1,0,0.3,14.8
2,2017-07-01 00:11:59,2017-07-01 00:30:30,3,8.97,1,N,163,127,2,26.5,0.5,0.5,0,0,0.3,27.8
2,2017-07-01 00:37:28,2017-07-01 01:02:49,3,12.30,1,N,243,45,1,36,0.5,0.5,0,0,0.3,37.3
1,2017-07-01 00:26:53,2017-07-01 00:33:28,1,.70,1,N,230,100,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-07-01 00:31:13,2017-07-01 00:51:26,1,3.90,1,N,113,143,1,16.5,0.5,0.5,3.55,0,0.3,21.35
1,2017-07-01 00:56:39,2017-07-01 01:23:46,2,7.50,1,N,239,129,1,25.5,0.5,0.5,5,0,0.3,31.8
1,2017-07-01 00:12:32,2017-07-01 00:20:34,1,1.40,1,N,137,229,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2017-07-01 00:25:49,2017-07-01 00:28:57,1,1.20,1,N,263,74,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2017-07-01 00:52:37,2017-07-01 01:08:10,1,1.90,1,N,113,148,1,11,0.5,0.5,2.46,0,0.3,14.76
