VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-01-15 19:05:41,2015-01-15 19:14:05,5,1.15,-73.952278137207031,40.823993682861328,1,N,-73.953338623046875,40.811088562011719,1,7.5,1,0.5,1.7,0,0.3,11
2,2015-01-15 19:05:42,2015-01-15 19:16:18,1,1.53,-73.991127014160156,40.750080108642578,1,N,-73.988609313964844,40.734889984130859,2,9,1,0.5,0,0,0.3,10.8
2,2015-01-15 19:05:42,2015-01-15 19:49:07,1,18.06,-73.786575317382812,40.644126892089844,2,N,-73.985603332519531,40.7435302734375,1,52,0,0.5,6,5.33,0.3,64.13
2,2015-01-15 19:05:42,2015-01-15 19:18:33,1,1.76,-73.993667602539063,40.741447448730469,1,N,-73.994514465332031,40.757720947265625,1,10,1,0.5,2.36,0,0.3,14.16
2,2015-01-15 19:05:42,2015-01-15 19:21:40,6,5.19,-73.98529052734375,40.744083404541016,1,N,-74.009078979492188,40.704689025878906,1,17.5,1,0.5,3.7,0,0.3,23
2,2015-01-15 19:05:42,2015-01-15 19:14:23,1,1.38,-73.969772338867187,40.785610198974609,1,N,-73.950706481933594,40.774681091308594,1,7.5,1,0.5,1.7,0,0.3,11
2,2015-01-15 19:05:43,2015-01-15 19:05:44,2,.01,0,0,5,N,0,0,1,60,0,0,0,0,0.3,60.3
2,2015-01-15 19:05:43,2015-01-15 19:17:43,2,2.23,-73.985092163085938,40.756988525390625,1,N,-73.984878540039063,40.7801513671875,1,10,1,0.5,2.2,0,0.3,14
2,2015-01-15 19:05:43,2015-01-15 19:15:17,1,1.56,-73.966163635253906,40.762161254882813,1,N,-73.950050354003906,40.776252746582031,1,8,1,0.5,1.8,0,0.3,11.6
2,2015-01-15 19:05:43,2015-01-15 19:15:09,5,1.57,-73.978424072265625,40.746208190917969,1,N,-73.980216979980469,40.728542327880859,1,8,1,0.5,1.8,0,0.3,11.6
