vendor_id, pickup_datetime, dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, rate_code, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
CMT,2014-07-10 12:05:32,2014-07-10 12:24:08,1,2.5,-73.988945000000001,40.691884999999999,1,N,-73.955706000000006,40.680998000000002,CSH,14,0,0.5,0,0,14.5
CMT,2014-07-10 06:41:46,2014-07-10 06:43:26,1,0.69999999999999996,-73.982298999999998,40.748334999999997,1,N,-73.975408000000002,40.756262,CSH,4,0,0.5,0,0,4.5
CMT,2014-07-10 05:16:10,2014-07-10 05:40:28,1,14.9,-74.004638999999997,40.71651,1,N,-74.007530000000003,40.575736999999997,CSH,41,0.5,0.5,0,0,42
CMT,2014-07-10 03:59:38,2014-07-10 03:59:49,1,0,-73.980456000000004,40.683276999999997,1,N,-73.980446000000001,40.68329,NOC,2.5,0.5,0.5,0,0,3.5
CMT,2014-07-10 08:02:34,2014-07-10 08:21:16,1,5.2000000000000002,-74.003204999999994,40.708236999999997,1,N,-73.981885000000005,40.757781999999999,CSH,19,0,0.5,0,0,19.5
CMT,2014-07-10 12:20:01,2014-07-10 12:50:00,4,14.1,-73.870878000000005,40.773555999999999,1,N,-73.976926000000006,40.656547000000003,CSH,39.5,0,0.5,0,0,40
CMT,2014-07-10 08:38:46,2014-07-10 09:08:06,1,2.8999999999999999,-74.004041000000001,40.748258999999997,1,N,-73.971744999999999,40.765248,CSH,18.5,0,0.5,0,0,19
CMT,2014-07-10 04:32:09,2014-07-10 04:46:39,1,7.4000000000000004,-73.992701999999994,40.74288,1,N,-73.954646999999994,40.824643000000002,CSH,22,0.5,0.5,0,0,23
CMT,2014-07-10 04:23:37,2014-07-10 04:41:49,1,6.5999999999999996,-74.011431999999999,40.702942,1,N,-73.908670000000001,40.706525999999997,CSH,21,0.5,0.5,0,0,22
CMT,2014-07-10 11:35:14,2014-07-10 11:45:08,1,2.7000000000000002,-73.973315999999997,40.746988999999999,1,N,-73.985023999999996,40.723965,CSH,11,0,0.5,0,0,11.5
CMT,2014-07-10 06:26:33,2014-07-10 06:46:37,1,6.5,-73.923608999999999,40.743923000000002,1,N,-73.985507999999996,40.688732000000002,CSH,22.5,0,0.5,0,0,23
CMT,2014-07-10 09:59:53,2014-07-10 10:03:28,1,0.5,-73.979298,40.740276999999999,1,N,-73.984392999999997,40.733293000000003,CSH,4.5,0,0.5,0,0,5
CMT,2014-07-10 06:56:25,2014-07-10 06:58:06,1,0.5,-73.980588999999995,40.754139000000002,1,N,-73.980356,40.760427999999997,CSH,4,0,0.5,0,0,4.5
CMT,2014-07-07 07:32:20,2014-07-07 07:44:03,1,1.8999999999999999,-73.986102000000002,40.718001999999998,1,N,-74.013913000000002,40.714754999999997,CRD,10,0,0.5,2.1000000000000001,0,12.6
CMT,2014-07-07 07:44:56,2014-07-07 07:47:35,2,1,-73.991439999999997,40.750059,1,N,-73.991208,40.739336000000002,CRD,5,0,0.5,1.1000000000000001,0,6.5999999999999996
CMT,2014-07-07 08:01:25,2014-07-07 08:12:37,1,3.1000000000000001,-73.968131999999997,40.792662,1,Y,-73.978483999999995,40.756126999999999,CRD,12,0,0.5,3.75,0,16.25
CMT,2014-07-07 09:13:10,2014-07-07 09:21:05,1,1.5,-74.007396999999997,40.728670999999999,1,N,-74.01549,40.711492999999997,CRD,8,0,0.5,2.1200000000000001,0,10.619999999999999
CMT,2014-07-07 05:37:10,2014-07-07 05:47:54,1,3.7000000000000002,-73.950348000000005,40.779822000000003,1,N,-73.991782000000001,40.749720000000003,CRD,13,0.5,0.5,2.7999999999999998,0,16.800000000000001
CMT,2014-07-07 07:25:38,2014-07-07 07:44:43,1,8.0999999999999996,0,0,1,N,0,0,CRD,25,0,0.5,3,0,28.5
CMT,2014-07-07 07:46:59,2014-07-07 07:51:56,1,1,-73.977607000000006,40.742198000000002,1,N,-73.975359999999995,40.749968000000003,CRD,5.5,0,0.5,1,0,7
CMT,2014-07-07 13:52:11,2014-07-07 14:10:47,1,3,-73.968063000000001,40.787143,1,N,-73.981900999999993,40.752037000000001,CRD,14.5,0,0.5,2,0,17
CMT,2014-07-07 10:53:40,2014-07-07 11:22:00,1,6.7999999999999998,-73.951441000000003,40.782243000000001,1,N,-73.995907000000003,40.716622000000001,CRD,25,0,0.5,1,0,26.5
CMT,2014-07-07 05:06:53,2014-07-07 05:19:38,4,3.1000000000000001,-73.978971000000001,40.788034000000003,1,N,-73.953543999999994,40.764541999999999,CRD,13,0.5,0.5,2.7999999999999998,0,16.800000000000001
CMT,2014-07-07 06:40:11,2014-07-07 06:44:32,1,1.5,-73.984827999999993,40.736367000000001,1,N,-73.976917,40.755330999999998,CRD,6.5,0,0.5,1,0,8
CMT,2014-07-07 07:42:48,2014-07-07 07:53:37,1,1.3999999999999999,-73.993487000000002,40.762503000000002,1,N,-73.971850000000003,40.758575,CRD,8.5,0,0.5,1.8,0,10.800000000000001
CMT,2014-07-07 15:37:11,2014-07-07 15:48:34,1,1.7,-73.974985000000004,40.763928999999997,1,N,-73.975830999999999,40.744998000000002,CRD,9.5,0,0.5,1.5,0,11.5
CMT,2014-07-07 10:02:05,2014-07-07 10:06:06,1,1,-73.984386999999998,40.743264000000003,1,N,-73.992202000000006,40.730817000000002,CRD,5.5,0,0.5,1,0,7
CMT,2014-07-07 07:00:38,2014-07-07 07:21:55,1,2.3999999999999999,-74.000553999999994,40.761704000000002,1,N,-74.003069999999994,40.718159,CRD,9.5,0,0.5,2,0,12
CMT,2014-07-07 14:35:18,2014-07-07 14:40:58,1,0.90000000000000002,-73.972487000000001,40.76323,1,N,-73.964083000000002,40.775398000000003,CRD,6,0,0.5,1,0,7.5
CMT,2014-07-07 09:34:40,2014-07-07 09:53:52,1,7,-73.873033000000007,40.774002000000003,1,N,-73.951769999999996,40.710700000000003,CRD,21,0,0.5,5,0,26.5
CMT,2014-07-07 10:49:31,2014-07-07 11:04:23,1,1.7,-73.986455000000007,40.751750000000001,1,N,-73.968361000000002,40.767707999999999,CRD,10.5,0,0.5,2.2000000000000002,0,13.199999999999999
CMT,2014-07-07 06:33:26,2014-07-07 06:41:56,1,1.7,-73.973437000000004,40.755032999999997,1,N,-73.980892999999995,40.774051999999998,CRD,9,0,0.5,1.8999999999999999,0,11.4
CMT,2014-07-07 11:05:14,2014-07-07 11:10:02,1,0.59999999999999998,-79.633450999999994,38.828339,1,N,-79.562903000000006,39.313203999999999,CRD,5,0,0.5,1.1000000000000001,0,6.5999999999999996
CMT,2014-07-07 05:17:59,2014-07-07 05:32:49,2,9.5999999999999996,-73.985941999999994,40.726776000000001,1,N,-73.871288000000007,40.774061000000003,CRD,27,0.5,0.5,6.6600000000000001,5.3300000000000001,39.990000000000002
CMT,2014-07-07 14:18:07,2014-07-07 14:35:40,2,9.3000000000000007,-73.983341999999993,40.747551999999999,1,N,-73.861618000000007,40.768341999999997,CRD,26.5,0,0.5,0,5.3300000000000001,32.329999999999998
CMT,2014-07-07 06:53:18,2014-07-07 06:54:37,1,0.5,-73.993440000000007,40.752572999999998,1,N,-73.988231999999996,40.759664000000001,CRD,3.5,0,0.5,1.2,0,5.2000000000000002
