VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2017-09-01 00:17:17,2017-09-01 00:18:49,1,.40,1,N,161,161,1,3.5,0.5,0.5,0,0,0.3,4.8
1,2017-09-01 00:22:08,2017-09-01 00:25:22,2,.90,1,N,164,234,1,5,0.5,0.5,1.25,0,0.3,7.55
2,2017-09-01 00:30:43,2017-09-01 00:33:47,1,.52,1,N,193,193,2,4,0.5,0.5,0,0,0.3,5.3
1,2017-09-01 00:37:57,2017-09-01 00:42:24,1,1.50,1,N,246,50,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-09-01 00:15:56,2017-09-01 00:28:28,1,1.30,1,N,143,143,4,9.5,0.5,0.5,0,0,0.3,10.8
1,2017-09-01 00:58:35,2017-09-01 01:07:09,1,1.50,1,N,50,143,1,8,0.5,0.5,2,0,0.3,11.3
1,2017-09-01 00:00:13,2017-09-01 00:07:39,1,1.60,1,N,163,186,2,8,0.5,0.5,0,0,0.3,9.3
1,2017-09-01 00:32:30,2017-09-01 00:36:03,1,.70,1,N,163,162,2,5,0.5,0.5,0,0,0.3,6.3
1,2017-09-01 00:45:09,2017-09-01 00:51:06,1,.90,1,N,161,141,1,6,0.5,0.5,1.5,0,0.3,8.8
2,2017-09-01 00:00:30,2017-09-01 00:33:46,1,6.34,1,N,249,188,1,25,0.5,0.5,5.26,0,0.3,31.56
1,2017-09-01 00:00:11,2017-09-01 00:12:53,1,2.00,1,N,114,158,1,10,0.5,0.5,2.25,0,0.3,13.55
1,2017-09-01 00:19:44,2017-09-01 00:30:08,0,1.80,1,N,249,144,1,9.5,0.5,0.5,0,0,0.3,10.8
2,2017-09-01 00:26:42,2017-09-01 00:38:07,1,2.22,1,N,261,249,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2017-09-01 00:49:18,2017-09-01 01:02:57,1,3.02,1,N,79,163,2,12,0.5,0.5,0,0,0.3,13.3
2,2017-09-01 00:17:08,2017-09-01 00:23:34,1,1.29,1,N,68,107,1,6.5,0.5,0.5,0.78,0,0.3,8.58
2,2017-09-01 00:25:44,2017-09-01 00:37:23,1,2.40,1,N,107,50,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2017-09-01 00:56:07,2017-09-01 01:07:44,1,2.26,1,N,234,48,1,10,0.5,0.5,2.26,0,0.3,13.56
1,2017-09-01 00:15:13,2017-09-01 00:27:42,1,2.40,1,N,164,143,1,11,0.5,0.5,1.25,0,0.3,13.55
1,2017-09-01 00:54:01,2017-09-01 01:07:45,1,3.50,1,N,48,262,1,13.5,0.5,0.5,0.1,0,0.3,14.9
1,2017-09-01 00:01:52,2017-09-01 00:25:35,1,9.00,1,N,107,126,2,29,0.5,0.5,0,0,0.3,30.3
2,2017-09-01 00:39:56,2017-09-01 01:04:31,5,17.63,2,N,132,233,1,52,0,0.5,11.71,5.76,0.3,70.27
1,2017-09-01 00:04:34,2017-09-01 00:17:54,2,2.40,1,N,186,162,2,11,0.5,0.5,0,0,0.3,12.3
2,2017-09-01 00:58:07,2017-09-01 01:05:38,1,1.25,1,N,48,162,2,7,0.5,0.5,0,0,0.3,8.3
1,2017-09-01 00:01:50,2017-09-01 00:06:20,1,.40,1,N,148,79,1,5,0.5,0.5,0.12,0,0.3,6.42
1,2017-09-01 00:18:59,2017-09-01 00:26:15,1,1.10,1,N,79,148,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-09-01 00:35:01,2017-09-01 01:07:03,1,21.53,4,N,93,265,1,72,0.5,0.5,14.66,0,0.3,87.96
1,2017-09-01 00:18:34,2017-09-01 00:28:09,1,2.30,1,N,170,249,1,10,0.5,0.5,2.25,0,0.3,13.55
2,2017-09-01 00:06:26,2017-09-01 00:28:39,1,16.25,2,N,132,170,1,52,0,0.5,10,5.76,0.3,68.56
2,2017-09-01 00:48:16,2017-09-01 01:20:58,1,10.11,1,N,43,97,1,33.5,0.5,0.5,6.96,0,0.3,41.76
1,2017-09-01 00:17:51,2017-09-01 00:24:44,2,1.40,1,N,234,79,2,7,0.5,0.5,0,0,0.3,8.3
1,2017-09-01 00:37:00,2017-09-01 00:46:39,1,2.70,1,N,144,137,1,10.5,0.5,0.5,1,0,0.3,12.8
