VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-12-01 00:00:13,2016-12-01 00:19:26,1,6.50,1,N,158,166,1,21,0.5,0.5,0,0,0.3,22.3,,
2,2016-12-01 00:00:13,2016-12-01 00:06:13,4,.97,1,N,68,164,1,6,0.5,0.5,1.46,0,0.3,8.76,,
1,2016-12-01 00:00:14,2016-12-01 00:28:14,1,9.80,1,Y,158,14,1,30.5,0.5,0.5,7.45,5.54,0.3,44.79,,
1,2016-12-01 00:00:14,2016-12-01 00:12:18,1,5.20,1,N,170,88,1,17,0.5,0.5,3.65,0,0.3,21.95,,
1,2016-12-01 00:00:14,2016-12-01 00:17:12,2,4.80,1,N,107,141,1,16.5,0.5,0.5,4.45,0,0.3,22.25,,
2,2016-12-01 00:00:14,2016-12-01 00:13:52,1,3.00,1,N,68,239,2,12,0.5,0.5,0,0,0.3,13.3,,
2,2016-12-01 00:00:14,2016-12-01 00:14:24,1,5.18,1,N,148,163,2,17.5,0.5,0.5,0,0,0.3,18.8,,
1,2016-12-01 00:00:15,2016-12-01 00:04:27,2,.70,1,N,232,232,1,5,0.5,0.5,1.55,0,0.3,7.85,,
1,2016-12-01 00:00:15,2016-12-01 00:23:52,1,7.80,1,N,162,49,1,25.5,0.5,0.5,5.35,0,0.3,32.15,,
1,2016-12-01 00:00:16,2016-12-01 00:08:15,1,1.30,1,N,230,142,1,7.5,0.5,0.5,1.75,0,0.3,10.55,,
1,2016-12-01 00:00:16,2016-12-01 00:25:40,1,9.70,1,N,113,223,1,29.5,0.5,0.5,9.05,5.54,0.3,45.39,,
1,2016-12-01 00:00:16,2016-12-01 00:11:44,1,2.90,1,N,264,264,1,11.5,0.5,0.5,3,0,0.3,15.8,,
2,2016-12-01 00:00:16,2016-12-01 00:25:41,1,6.04,1,N,249,189,2,21.5,0.5,0.5,0,0,0.3,22.8,,
2,2016-12-01 00:00:16,2016-12-01 00:06:14,1,1.71,1,N,163,141,2,7.5,0.5,0.5,0,0,0.3,8.8,,
1,2016-12-01 00:00:17,2016-12-01 00:05:18,1,1.30,1,N,162,100,1,6,0.5,0.5,2.15,0,0.3,9.45,,
1,2016-12-01 00:00:17,2016-12-01 00:16:49,1,2.90,1,N,230,79,1,13,0.5,0.5,4.25,0,0.3,18.55,,
2,2016-12-01 00:00:17,2016-12-01 00:18:34,2,3.23,1,N,114,163,2,14,0.5,0.5,0,0,0.3,15.3,,
2,2016-12-01 00:00:17,2016-12-01 00:27:12,1,6.37,1,N,158,41,1,24,0.5,0.5,2,0,0.3,27.3,,
2,2016-12-01 00:00:17,2016-12-01 00:05:31,5,.98,1,N,79,249,1,5.5,0.5,0.5,1.36,0,0.3,8.16,,
1,2016-12-01 00:00:18,2016-12-01 00:06:56,1,1.20,1,N,231,87,1,6.5,0.5,0.5,1.95,0,0.3,9.75,,
1,2016-12-01 00:00:18,2016-12-01 00:17:04,1,3.70,1,N,232,246,1,14.5,0.5,0.5,3.15,0,0.3,18.95,,
2,2016-12-01 00:00:18,2016-12-01 00:03:21,1,.36,1,N,249,249,1,4,0.5,0.5,3,0,0.3,8.3,,
1,2016-12-01 00:00:19,2016-12-01 00:29:15,1,13.40,1,N,162,254,1,37.5,0.5,0.5,7.75,0,0.3,46.55,,
1,2016-12-01 00:00:19,2016-12-01 00:06:23,1,.40,1,N,163,162,2,5.5,0.5,0.5,0,0,0.3,6.8,,
2,2016-12-01 00:00:19,2016-12-01 00:23:25,5,9.09,1,N,161,136,2,26.5,0.5,0.5,0,0,0.3,27.8,,
2,2016-12-01 00:00:19,2016-12-01 00:04:55,1,.95,1,N,146,7,2,5,0.5,0.5,0,0,0.3,6.3,,
2,2016-12-01 00:00:19,2016-12-01 00:07:51,1,1.44,1,N,161,186,2,7.5,0.5,0.5,0,0,0.3,8.8,,
2,2016-12-01 00:00:19,2016-12-01 00:08:18,1,.78,1,N,161,233,2,6.5,0.5,0.5,0,0,0.3,7.8,,
1,2016-12-01 00:00:20,2016-12-01 00:12:30,2,2.30,1,N,264,264,1,10.5,0.5,0.5,2,0,0.3,13.8,,
1,2016-12-01 00:00:20,2016-12-01 00:10:49,1,2.50,1,N,162,79,1,10,0.5,0.5,1.5,0,0.3,12.8,,
2,2016-12-01 00:00:20,2016-12-01 00:10:32,1,1.45,1,N,230,143,1,8.5,0.5,0.5,2.45,0,0.3,12.25,,
2,2016-12-01 00:00:20,2016-12-01 00:19:13,2,9.61,1,N,138,36,1,27.5,0.5,0.5,5.76,0,0.3,34.56,,
1,2016-12-01 00:00:21,2016-12-01 00:31:20,1,7.30,1,N,113,223,1,26,0.5,0.5,3,0,0.3,30.3,,
2,2016-12-01 00:00:21,2016-12-01 00:04:25,1,1.11,1,N,48,246,1,5.5,0.5,0.5,1,0,0.3,7.8,,
2,2016-12-01 00:00:21,2016-12-01 00:17:18,1,3.56,1,N,234,261,1,14.5,0.5,0.5,3.95,0,0.3,19.75,,
2,2016-12-01 00:00:21,2016-12-01 00:06:24,1,1.01,1,N,170,100,2,6,0.5,0.5,0,0,0.3,7.3,,
1,2016-12-01 00:00:22,2016-12-01 00:10:57,1,1.90,1,N,158,79,1,9,0.5,0.5,0,0,0.3,10.3,,
1,2016-12-01 00:00:22,2016-12-01 00:07:29,1,1.30,1,N,186,249,1,6.5,0.5,0.5,2.3,0,0.3,10.1,,
1,2016-12-01 00:00:22,2016-12-01 00:06:47,1,1.70,1,N,79,186,1,7.5,0.5,0.5,1.75,0,0.3,10.55,,
1,2016-12-01 00:00:22,2016-12-01 00:13:00,1,2.50,1,N,161,249,1,11,0.5,0.5,2.45,0,0.3,14.75,,
1,2016-12-01 00:00:22,2016-12-01 00:14:34,1,3.60,1,N,231,232,1,14,0.5,0.5,3.8,0,0.3,19.1,,
2,2016-12-01 00:00:22,2016-12-01 00:16:00,1,3.65,1,N,79,48,1,14,0.5,0.5,3.06,0,0.3,18.36,,
2,2016-12-01 00:00:23,2016-12-01 00:23:28,1,4.05,1,N,48,79,1,16,0.5,0.5,1.5,0,0.3,18.8,,
2,2016-12-01 00:00:23,2016-12-01 00:17:23,1,5.03,1,N,107,107,1,16.5,0.5,0.5,4.45,0,0.3,22.25,,
1,2016-12-01 00:00:24,2016-12-01 00:29:01,1,10.50,1,N,125,243,1,32.5,0.5,0.5,8.45,0,0.3,42.25,,
1,2016-12-01 00:00:24,2016-12-01 00:13:58,2,2.10,1,N,224,68,2,10.5,0.5,0.5,0,0,0.3,11.8,,
2,2016-12-01 00:00:24,2016-12-01 00:20:15,1,5.23,1,N,231,143,1,18,0.5,0.5,3.86,0,0.3,23.16,,
2,2016-12-01 00:00:24,2016-12-01 00:18:12,5,8.15,1,N,132,38,2,24.5,0.5,0.5,0,0,0.3,25.8,,
1,2016-12-01 00:00:25,2016-12-01 00:19:43,1,6.10,1,N,68,74,1,19.5,0.5,0.5,4.15,0,0.3,24.95,,
2,2016-12-01 00:00:25,2016-12-01 00:05:36,1,.83,1,N,170,164,1,5.5,0.5,0.5,1.36,0,0.3,8.16,,
2,2016-12-01 00:00:25,2016-12-01 00:15:04,1,5.21,1,N,100,74,1,16.5,0.5,0.5,2,0,0.3,19.8,,
