vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount

VTS,2012-10-01 07:57:00,2012-10-01 08:09:00,1,3.0099999999999998,-73.994532000000007,40.755887000000001,1,,-74.009990000000002,40.721494999999997,CRD,12.5,0,0.5,2,0,15
VTS,2012-10-01 07:57:00,2012-10-01 08:08:00,1,1.5600000000000001,-73.956346999999994,40.767488,1,,-73.954065,40.784652000000001,CSH,9,0,0.5,0,0,9.5
VTS,2012-10-01 07:57:00,2012-10-01 08:08:00,1,1.23,-73.962950000000006,40.772382,1,,-73.946950000000001,40.771946999999997,CSH,9,0,0.5,0,0,9.5
VTS,2012-10-01 07:57:00,2012-10-01 08:10:00,1,0.27000000000000002,-74.007671999999999,40.732267,1,,-73.979212000000004,40.752642000000002,CSH,12,0,0.5,0,0,12.5
VTS,2012-10-01 07:57:00,2012-10-01 08:25:00,1,2.9500000000000002,-73.966341999999997,40.793354999999998,1,,-73.954012000000006,40.766401999999999,CSH,18,0,0.5,0,0,18.5
CMT,2012-10-01 07:57:08,2012-10-01 08:10:03,1,2.2000000000000002,-73.976149000000007,40.788201999999998,1,N,-73.972713999999996,40.761926000000003,CRD,11,0,0.5,1,0,12.5
CMT,2012-10-01 07:57:09,2012-10-01 08:03:49,1,1.5,-73.958729000000005,40.781035000000003,1,N,-73.968886999999995,40.764451000000001,CRD,7.5,0,0.5,1.2,0,9.1999999999999993
CMT,2012-10-01 07:57:12,2012-10-01 08:14:33,1,3,-73.967502999999994,40.757398000000002,1,N,-74.002775,40.743156999999997,CSH,13.5,0,0.5,0,0,14
CMT,2012-10-01 07:57:14,2012-10-01 08:07:03,1,1.7,-73.993948000000003,40.751193999999998,1,N,-73.972795000000005,40.755737000000003,CRD,8.5,0,0.5,2.25,0,11.25
CMT,2012-10-01 07:57:15,2012-10-01 08:10:12,1,4.2999999999999998,-73.990438999999995,40.771524999999997,1,N,-74.013400000000004,40.715836000000003,CRD,14.5,0,0.5,1,0,16
CMT,2012-10-01 07:57:26,2012-10-01 08:19:41,1,3.7000000000000002,-73.990530000000007,40.757396999999997,1,N,-73.948629999999994,40.786116999999997,CSH,17,0,0.5,0,0,17.5
CMT,2012-10-01 07:57:30,2012-10-01 08:09:33,1,1.8,-73.991489000000001,40.738812000000003,1,N,-73.973307000000005,40.757736000000001,CRD,10,0,0.5,2.1000000000000001,0,12.6
CMT,2012-10-01 07:57:32,2012-10-01 08:09:54,1,2.3999999999999999,-73.955342999999999,40.782544000000001,1,N,-73.977990000000005,40.757396999999997,CSH,11.5,0,0.5,0,0,12
CMT,2012-10-01 07:57:34,2012-10-01 08:03:36,1,1.2,-73.975898999999998,40.751930000000002,1,N,-73.973907999999994,40.738638999999999,CSH,6.5,0,0.5,0,0,7
CMT,2012-10-01 07:57:39,2012-10-01 08:05:52,1,1.2,-73.985568999999998,40.744599000000001,1,N,-73.974386999999993,40.759419999999999,CSH,7.5,0,0.5,0,0,8
CMT,2012-10-01 07:57:41,2012-10-01 08:06:44,1,1.3999999999999999,-73.987202999999994,40.771174999999999,1,N,-73.987515999999999,40.755980999999998,CRD,8,0,0.5,1.7,0,10.199999999999999
CMT,2012-10-01 07:57:44,2012-10-01 08:16:45,1,3.7999999999999998,-74.005087000000003,40.719608000000001,1,N,-73.971405000000004,40.763860999999999,CRD,15.5,0,0.5,2,0,18
CMT,2012-10-01 07:57:44,2012-10-01 08:38:58,1,11,-73.863262000000006,40.769875999999996,1,N,-73.981401000000005,40.762780999999997,CRD,37,0,0.5,10.57,4.7999999999999998,52.869999999999997
CMT,2012-10-01 07:57:55,2012-10-01 08:01:37,3,0.40000000000000002,-73.978451000000007,40.759869000000002,1,N,-73.987741999999997,40.751956999999997,CSH,4.5,0,0.5,0,0,5
CMT,2012-10-01 07:57:57,2012-10-01 08:08:03,1,1.7,-73.954457000000005,40.770097,1,N,-73.972694000000004,40.758723000000003,CSH,9,0,0.5,0,0,9.5
CMT,2012-10-01 07:58:00,2012-10-01 08:05:23,2,1.3,-73.958627000000007,40.783982000000002,1,N,-73.970395999999994,40.767153999999998,CRD,7.5,0,0.5,1.6000000000000001,0,9.5999999999999996
VTS,2012-10-01 07:58:00,2012-10-01 08:07:00,1,2.0299999999999998,-73.982737,40.731352999999999,1,,-74.002780000000001,40.717106999999999,CRD,9,0,0.5,1,0,10.5
VTS,2012-10-01 07:58:00,2012-10-01 08:00:00,2,0.78000000000000003,-73.958519999999993,40.800462000000003,1,,-73.964190000000002,40.792462,CSH,4.5,0,0.5,0,0,5
VTS,2012-10-01 07:58:00,2012-10-01 08:02:00,1,1.3100000000000001,-74.006704999999997,40.731006999999998,1,,-73.998180000000005,40.745694999999998,CSH,5.5,0,0.5,0,0,6
VTS,2012-10-01 07:58:00,2012-10-01 08:03:00,1,0.75,-73.982827,40.763292,1,,-73.988758000000004,40.755825000000002,CSH,5,0,0.5,0,0,5.5
VTS,2012-10-01 07:58:00,2012-10-01 08:04:00,6,1.01,-73.976731999999998,40.756162000000003,1,,-73.97936,40.765276999999998,CRD,6,0,0.5,1.2,0,7.7000000000000002
VTS,2012-10-01 07:57:00,2012-10-01 08:07:00,1,1.76,-73.994527000000005,40.734566999999998,1,,-73.976569999999995,40.748066999999999,CRD,9,0,0.5,1,0,10.5
VTS,2012-10-01 07:57:00,2012-10-01 08:05:00,1,1.8999999999999999,-73.976851999999994,40.747441999999999,1,,-73.956663000000006,40.764763000000002,CSH,8.5,0,0.5,0,0,9
VTS,2012-10-01 07:57:00,2012-10-01 08:06:00,1,1.1899999999999999,-73.95429,40.784126999999998,1,,-73.966245000000001,40.789810000000003,CRD,8,0,0.5,1,0,9.5
VTS,2012-10-01 07:57:00,2012-10-01 08:07:00,2,1.6699999999999999,-73.969665000000006,40.765971999999998,1,,-73.959571999999994,40.779843,CSH,8.5,0,0.5,0,0,9
VTS,2012-10-01 07:57:00,2012-10-01 08:07:00,4,1.51,-73.99418,40.751106999999998,1,,-73.972089999999994,40.746156999999997,CSH,8.5,0,0.5,0,0,9
VTS,2012-10-01 07:57:00,2012-10-01 08:10:00,6,4.0499999999999998,-73.962194999999994,40.767797000000002,1,,-73.974995000000007,40.719715000000001,CRD,15,0,0.5,3,0,18.5
VTS,2012-10-01 07:57:00,2012-10-01 08:09:00,2,1.8700000000000001,-73.96266,40.76896,1,,0,0,CSH,10,0,0.5,0,0,10.5
VTS,2012-10-01 07:57:00,2012-10-01 08:12:00,1,1.78,-74.006718000000006,40.730466999999997,1,,-74.009280000000004,40.710552,CSH,11,0,0.5,0,0,11.5
VTS,2012-10-01 07:57:00,2012-10-01 08:13:00,5,3.25,-73.997529999999998,40.746499999999997,1,,-73.969539999999995,40.785437000000002,CRD,13.5,0,0.5,1,0,15
VTS,2012-10-01 07:57:00,2012-10-01 08:14:00,1,3.6099999999999999,-74.009180000000001,40.717610000000001,1,,-73.980279999999993,40.759990000000002,CRD,14.5,0,0.5,1.75,0,16.75
VTS,2012-10-01 07:57:00,2012-10-01 08:14:00,1,7.8300000000000001,-73.961879999999994,40.768272000000003,1,,-74.013227000000001,40.714812000000002,CRD,23.5,0,0.5,3,0,27
VTS,2012-10-01 07:57:00,2012-10-01 08:19:00,6,4.3499999999999996,-73.946466999999998,40.792386999999998,1,,-73.971536999999998,40.744275000000002,CRD,18.5,0,0.5,3.7000000000000002,0,22.699999999999999
VTS,2012-10-01 07:57:00,2012-10-01 08:18:00,1,3.2200000000000002,-73.939198000000005,40.791792000000001,1,,-73.972487000000001,40.760686999999997,CRD,15.5,0,0.5,1,0,17
VTS,2012-10-01 07:57:00,2012-10-01 08:30:00,2,14.9,-73.929616999999993,40.756745000000002,1,,-73.782835000000006,40.643970000000003,CRD,44,0,0.5,5,0,49.5
VTS,2012-10-01 07:57:00,2012-10-01 08:54:00,3,13.98,-73.783164999999997,40.648626999999998,1,,-73.990778000000006,40.702871999999999,CRD,49.5,0,0.5,9.9000000000000004,0,59.899999999999999
CMT,2012-10-01 07:57:01,2012-10-01 08:10:52,1,3.2000000000000002,-73.952875000000006,40.771982000000001,1,N,-73.981927999999996,40.746271999999998,CRD,13.5,0,0.5,2.7999999999999998,0,16.800000000000001
CMT,2012-10-01 07:57:04,2012-10-01 08:02:05,1,1.2,-73.928033999999997,40.769787999999998,1,N,-73.941779999999994,40.754573999999998,CSH,6,0,0.5,0,0,6.5
CMT,2012-10-01 07:57:06,2012-10-01 08:07:44,1,2,-73.960042999999999,40.770516999999998,1,N,-73.966054999999997,40.789887,CSH,9.5,0,0.5,0,0,10
CMT,2012-10-01 07:57:11,2012-10-01 08:10:05,1,3.3999999999999999,-73.947817999999998,40.770266999999997,1,N,-73.993170000000006,40.752046,CRD,13.5,0,0.5,1.5,0,15.5
CMT,2012-10-01 07:57:13,2012-10-01 08:06:25,1,1.5,-73.976252000000002,40.751660999999999,1,N,-73.966666000000004,40.766947000000002,CRD,8,0,0.5,1.7,0,10.199999999999999
CMT,2012-10-01 07:57:17,2012-10-01 08:12:00,1,0.80000000000000004,-74.006427000000002,40.733137999999997,1,N,-73.982271999999995,40.749918999999998,CRD,5,0,0.5,1,0,6.5
CMT,2012-10-01 07:57:21,2012-10-01 08:00:42,1,0.59999999999999998,-73.986115999999996,40.740867999999999,1,N,-73.993343999999993,40.736497,CSH,4.5,0,0.5,0,0,5
CMT,2012-10-01 07:57:27,2012-10-01 08:02:14,1,0.80000000000000004,-73.960657999999995,40.769849999999998,1,N,-73.968666999999996,40.764806,CRD,5.5,0,0.5,1.2,0,7.2000000000000002
CMT,2012-10-01 07:57:28,2012-10-01 08:02:45,3,0.59999999999999998,-73.948652999999993,40.778263000000003,1,N,-73.949830000000006,40.784799999999997,CRD,5,0,0.5,0.5,0,6
CMT,2012-10-01 07:57:38,2012-10-01 08:22:46,2,8.3000000000000007,-73.966307999999998,40.794525,1,N,-73.870743000000004,40.773981999999997,CSH,28,0,0.5,0,4.7999999999999998,33.299999999999997
VTS,2012-10-01 07:57:00,2012-10-01 08:05:00,5,1.3,-73.961515000000006,40.768517000000003,1,,-73.972504999999998,40.759076999999998,CRD,8,0,0.5,2,0,10.5
VTS,2012-10-01 07:57:00,2012-10-01 08:08:00,5,1.9199999999999999,-73.962762999999995,40.758296999999999,1,,-73.981252999999995,40.746960000000001,CRD,9,0,0.5,0,0,9.5
VTS,2012-10-01 07:57:00,2012-10-01 08:10:00,1,2.1699999999999999,-73.95617,40.784610000000001,1,,-73.973685000000003,40.763356999999999,CSH,10.5,0,0.5,0,0,11
VTS,2012-10-01 07:57:00,2012-10-01 08:11:00,2,1.8999999999999999,-74.000547999999995,40.737385000000003,1,,-74.012715,40.715176999999997,CSH,11,0,0.5,0,0,11.5
VTS,2012-10-01 07:57:00,2012-10-01 08:12:00,1,2.4500000000000002,-73.958102999999994,40.770446999999997,1,,-73.982219999999998,40.751620000000003,CSH,12,0,0.5,0,0,12.5
VTS,2012-10-01 07:57:00,2012-10-01 08:45:00,1,15.31,-73.791399999999996,40.645755000000001,1,,-73.939295000000001,40.714672,CSH,46,0,0.5,0,0,46.5
CMT,2012-10-01 07:57:01,2012-10-01 08:11:40,3,2,-73.978775999999996,40.724269999999997,1,N,-74.003310999999997,40.724113000000003,CRD,11.5,0,0.5,2,0,14
CMT,2012-10-01 07:57:01,2012-10-01 08:03:21,1,1.3,-73.983845000000002,40.733939999999997,1,N,-73.991581999999994,40.717463000000002,CSH,7,0,0.5,0,0,7.5
