VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

2,2017-02-03 02:03:50,2017-02-03 02:20:55,1,3.29,1,N,87,246,1,14,0,0.5,1.5,0,0.3,16.3
2,2017-02-03 02:26:04,2017-02-03 02:46:47,1,2.80,1,N,68,239,2,15,0,0.5,0,0,0.3,15.8
2,2017-02-03 02:49:51,2017-02-03 09:56:17,1,.90,1,N,239,43,1,6,0,0.5,1.36,0,0.3,8.16
2,2017-02-03 04:41:54,2017-02-03 04:52:41,1,.72,1,N,163,230,1,8,0,0.5,1.76,0,0.3,10.56
2,2017-02-03 04:57:38,2017-02-03 12:16:14,1,1.10,1,N,186,230,1,11,0,0.5,3.54,0,0.3,15.34
2,2017-02-21 14:50:07,2017-02-21 15:03:08,1,.93,1,N,141,162,2,9,0,0.5,0,0,0.3,9.8
2,2017-02-21 23:23:09,2017-02-21 23:26:18,6,.84,1,N,234,68,1,5,0.5,0.5,0.88,0,0.3,7.18
2,2017-02-21 23:28:20,2017-02-21 23:39:56,6,2.01,1,N,249,161,1,10,0.5,0.5,2.82,0,0.3,14.12
2,2017-02-21 23:55:03,2017-02-22 00:01:38,6,1.52,1,N,144,87,1,7,0.5,0.5,2.08,0,0.3,10.38
2,2017-02-24 12:17:57,2017-02-24 12:28:02,1,1.01,1,N,230,68,1,8,0,0.5,2.64,0,0.3,11.44
2,2017-02-24 12:29:32,2017-02-24 12:33:03,1,.72,1,N,68,68,1,4.5,0,0.5,1.59,0,0.3,6.89
2,2017-02-24 12:47:50,2017-02-24 12:59:48,1,1.60,1,N,231,113,1,9,0,0.5,1.96,0,0.3,11.76
2,2017-02-24 13:03:57,2017-02-24 22:04:42,1,4.31,1,N,113,239,1,34.5,0,0.5,3,0,0.3,38.3
1,2017-02-01 00:00:00,2017-02-01 00:20:43,1,10.30,1,N,138,162,2,30.5,0.5,0.5,0,5.54,0.3,37.34
2,2017-02-01 00:00:00,2017-02-01 00:24:23,1,16.05,1,N,132,123,2,44,0.5,0.5,0,0,0.3,45.3
1,2017-02-01 00:00:01,2017-02-01 00:14:45,1,2.40,1,N,148,68,1,12,0.5,0.5,3,0,0.3,16.3
1,2017-02-01 00:00:01,2017-02-01 00:21:12,1,10.40,1,N,137,213,1,30.5,0.5,0.5,6.35,0,0.3,38.15
2,2017-02-01 00:00:01,2017-02-01 00:05:29,4,.76,1,N,170,170,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-02-01 00:00:02,2017-02-01 00:10:45,2,2.80,1,N,230,79,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2017-02-01 00:00:03,2017-02-01 00:07:27,1,2.48,1,N,142,246,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2017-02-01 00:00:04,2017-02-01 00:29:52,1,13.60,1,N,138,13,1,39,0.5,0.5,5,0,0.3,45.3
