taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
green,2,2017-06-01T00:02:22.000+08:00,2017-06-01T00:09:22.000+08:00,N,1,255,256,,,,,1,1.17,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,1,1,2017,6,1,0,2,22,2017-06-01,2017,6,1,0,9,22,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Williamsburg (South Side),Boro Zone
green,2,2017-06-01T00:05:24.000+08:00,2017-06-01T00:10:31.000+08:00,N,1,112,255,,,,,1,0.89,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1,2017,6,1,0,5,24,2017-06-01,2017,6,1,0,10,31,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Greenpoint,Boro Zone,Brooklyn,Williamsburg (North Side),Boro Zone
green,2,2017-06-01T00:08:18.000+08:00,2017-06-01T00:15:54.000+08:00,N,1,97,256,,,,,1,3.29,11.5,0.5,0.5,3.2,0.0,,0.3,16.0,1,1,2017,6,1,0,8,18,2017-06-01,2017,6,1,0,15,54,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Fort Greene,Boro Zone,Brooklyn,Williamsburg (South Side),Boro Zone
green,2,2017-06-01T00:05:57.000+08:00,2017-06-01T00:10:23.000+08:00,N,1,25,97,,,,,1,0.36,4.5,0.5,0.5,1.16,0.0,,0.3,6.96,1,1,2017,6,1,0,5,57,2017-06-01,2017,6,1,0,10,23,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Boerum Hill,Boro Zone,Brooklyn,Fort Greene,Boro Zone
green,2,2017-06-01T00:03:02.000+08:00,2017-06-01T00:07:17.000+08:00,N,1,223,223,,,,,1,0.74,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1,2017,6,1,0,3,2,2017-06-01,2017,6,1,0,7,17,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Queens,Steinway,Boro Zone,Queens,Steinway,Boro Zone
green,2,2017-06-01T00:04:56.000+08:00,2017-06-01T00:10:59.000+08:00,N,1,256,17,,,,,1,1.54,7.0,0.5,0.5,1.66,0.0,,0.3,9.96,1,1,2017,6,1,0,4,56,2017-06-01,2017,6,1,0,10,59,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Williamsburg (South Side),Boro Zone,Brooklyn,Bedford,Boro Zone
green,2,2017-06-01T00:00:22.000+08:00,2017-06-01T00:05:56.000+08:00,N,1,223,70,,,,,1,2.7,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,1,1,2017,6,1,0,0,22,2017-06-01,2017,6,1,0,5,56,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Queens,Steinway,Boro Zone,Queens,East Elmhurst,Boro Zone
green,2,2017-06-01T00:07:03.000+08:00,2017-06-01T00:14:29.000+08:00,N,1,256,112,,,,,1,1.49,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2,1,2017,6,1,0,7,3,2017-06-01,2017,6,1,0,14,29,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Williamsburg (South Side),Boro Zone,Brooklyn,Greenpoint,Boro Zone
green,2,2017-06-01T00:37:31.000+08:00,2017-06-01T00:47:38.000+08:00,N,1,66,148,,,,,1,2.3,10.0,0.5,0.5,2.26,0.0,,0.3,13.56,1,1,2017,6,1,0,37,31,2017-06-01,2017,6,1,0,47,38,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,Manhattan,Lower East Side,Yellow Zone
green,2,2017-06-01T00:02:03.000+08:00,2017-06-01T00:06:51.000+08:00,N,1,7,226,,,,,1,1.27,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1,2017,6,1,0,2,3,2017-06-01,2017,6,1,0,6,51,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Queens,Astoria,Boro Zone,Queens,Sunnyside,Boro Zone
green,2,2017-06-01T00:09:49.000+08:00,2017-06-01T00:14:33.000+08:00,N,1,112,112,,,,,1,0.86,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1,2017,6,1,0,9,49,2017-06-01,2017,6,1,0,14,33,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Greenpoint,Boro Zone,Brooklyn,Greenpoint,Boro Zone
green,2,2017-06-01T00:02:14.000+08:00,2017-06-01T00:08:07.000+08:00,N,1,42,42,,,,,1,0.83,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1,1,2017,6,1,0,2,14,2017-06-01,2017,6,1,0,8,7,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Manhattan,Central Harlem North,Boro Zone,Manhattan,Central Harlem North,Boro Zone
green,2,2017-06-01T00:09:56.000+08:00,2017-06-01T00:12:52.000+08:00,N,1,41,42,,,,,1,0.39,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,1,1,2017,6,1,0,9,56,2017-06-01,2017,6,1,0,12,52,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Central Harlem North,Boro Zone
green,2,2017-06-01T00:00:10.000+08:00,2017-06-01T00:07:15.000+08:00,N,1,89,181,,,,,1,2.12,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1,2017,6,1,0,0,10,2017-06-01,2017,6,1,0,7,15,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Flatbush/Ditmas Park,Boro Zone,Brooklyn,Park Slope,Boro Zone
green,2,2017-06-01T00:06:11.000+08:00,2017-06-01T00:11:43.000+08:00,N,1,49,17,,,,,1,1.03,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1,2017,6,1,0,6,11,2017-06-01,2017,6,1,0,11,43,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Clinton Hill,Boro Zone,Brooklyn,Bedford,Boro Zone
green,2,2017-06-01T00:09:41.000+08:00,2017-06-01T00:15:05.000+08:00,N,1,7,223,,,,,1,1.12,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1,2017,6,1,0,9,41,2017-06-01,2017,6,1,0,15,5,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Queens,Astoria,Boro Zone,Queens,Steinway,Boro Zone
green,2,2017-06-01T00:00:46.000+08:00,2017-06-01T00:05:18.000+08:00,N,1,25,97,,,,,1,0.7,5.0,0.5,0.5,1.26,0.0,,0.3,7.56,1,1,2017,6,1,0,0,46,2017-06-01,2017,6,1,0,5,18,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Boerum Hill,Boro Zone,Brooklyn,Fort Greene,Boro Zone
green,2,2017-06-01T00:04:19.000+08:00,2017-06-01T00:10:10.000+08:00,N,1,130,28,,,,,1,0.96,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1,2017,6,1,0,4,19,2017-06-01,2017,6,1,0,10,10,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Queens,Jamaica,Boro Zone,Queens,Briarwood/Jamaica Hills,Boro Zone
green,2,2017-06-01T00:03:01.000+08:00,2017-06-01T00:14:03.000+08:00,N,1,65,37,,,,,1,4.38,14.5,0.5,0.5,0.0,0.0,,0.3,15.8,2,1,2017,6,1,0,3,1,2017-06-01,2017,6,1,0,14,3,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Brooklyn,Bushwick South,Boro Zone
green,2,2017-06-01T00:00:22.000+08:00,2017-06-01T00:04:43.000+08:00,N,1,255,256,,,,,1,0.92,5.0,0.5,0.5,1.58,0.0,,0.3,7.88,1,1,2017,6,1,0,0,22,2017-06-01,2017,6,1,0,4,43,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Williamsburg (South Side),Boro Zone
green,2,2017-06-01T00:00:38.000+08:00,2017-06-01T00:04:38.000+08:00,N,1,196,95,,,,,1,1.26,6.0,0.5,0.5,1.82,0.0,,0.3,9.12,1,1,2017,6,1,0,0,38,2017-06-01,2017,6,1,0,4,38,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Queens,Rego Park,Boro Zone,Queens,Forest Hills,Boro Zone
green,2,2017-06-01T00:05:52.000+08:00,2017-06-01T00:12:11.000+08:00,N,1,49,181,,,,,1,1.16,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1,2017,6,1,0,5,52,2017-06-01,2017,6,1,0,12,11,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Clinton Hill,Boro Zone,Brooklyn,Park Slope,Boro Zone
green,2,2017-06-01T00:05:20.000+08:00,2017-06-01T00:09:15.000+08:00,N,1,166,24,,,,,1,0.88,5.0,0.5,0.5,1.26,0.0,,0.3,7.56,1,1,2017,6,1,0,5,20,2017-06-01,2017,6,1,0,9,15,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Manhattan,Morningside Heights,Boro Zone,Manhattan,Bloomingdale,Yellow Zone
green,2,2017-06-01T00:11:58.000+08:00,2017-06-01T00:16:04.000+08:00,N,1,97,49,,,,,1,1.14,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1,2017,6,1,0,11,58,2017-06-01,2017,6,1,0,16,4,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Fort Greene,Boro Zone,Brooklyn,Clinton Hill,Boro Zone
green,2,2017-06-01T00:03:58.000+08:00,2017-06-01T00:05:36.000+08:00,N,1,146,7,,,,,1,0.63,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1,2017,6,1,0,3,58,2017-06-01,2017,6,1,0,5,36,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Queens,Long Island City/Queens Plaza,Boro Zone,Queens,Astoria,Boro Zone
green,2,2017-06-01T00:05:02.000+08:00,2017-06-01T00:07:16.000+08:00,N,1,255,255,,,,,5,0.5,3.5,0.5,0.5,0.96,0.0,,0.3,5.76,1,1,2017,6,1,0,5,2,2017-06-01,2017,6,1,0,7,16,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Williamsburg (North Side),Boro Zone
green,2,2017-06-01T00:01:46.000+08:00,2017-06-01T00:07:26.000+08:00,N,1,52,228,,,,,1,1.68,7.0,0.5,0.5,0.01,0.0,,0.3,8.31,1,1,2017,6,1,0,1,46,2017-06-01,2017,6,1,0,7,26,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Cobble Hill,Boro Zone,Brooklyn,Sunset Park West,Boro Zone
green,2,2017-06-01T00:06:22.000+08:00,2017-06-01T00:08:25.000+08:00,N,1,166,166,,,,,1,0.4,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1,2017,6,1,0,6,22,2017-06-01,2017,6,1,0,8,25,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Manhattan,Morningside Heights,Boro Zone,Manhattan,Morningside Heights,Boro Zone
green,2,2017-06-01T00:01:50.000+08:00,2017-06-01T00:08:16.000+08:00,N,1,189,17,,,,,1,1.72,7.5,0.5,0.5,1.76,0.0,,0.3,10.56,1,1,2017,6,1,0,1,50,2017-06-01,2017,6,1,0,8,16,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Prospect Heights,Boro Zone,Brooklyn,Bedford,Boro Zone
green,2,2017-06-01T00:06:45.000+08:00,2017-06-01T00:14:08.000+08:00,N,1,212,235,,,,,1,3.54,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1,2017,6,1,0,6,45,2017-06-01,2017,6,1,0,14,8,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Bronx,Soundview/Bruckner,Boro Zone,Bronx,University Heights/Morris Heights,Boro Zone
green,2,2017-06-01T00:08:13.000+08:00,2017-06-01T00:14:59.000+08:00,N,1,16,252,,,,,1,2.59,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1,2017,6,1,0,8,13,2017-06-01,2017,6,1,0,14,59,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Queens,Bayside,Boro Zone,Queens,Whitestone,Boro Zone
green,2,2017-06-01T00:01:40.000+08:00,2017-06-01T00:11:39.000+08:00,N,1,33,148,,,,,1,3.4,12.0,0.5,0.5,3.32,0.0,,0.3,16.62,1,1,2017,6,1,0,1,40,2017-06-01,2017,6,1,0,11,39,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Brooklyn Heights,Boro Zone,Manhattan,Lower East Side,Yellow Zone
green,2,2017-06-01T00:17:26.000+08:00,2017-06-01T00:20:01.000+08:00,N,1,256,256,,,,,1,0.59,4.0,0.5,0.5,1.06,0.0,,0.3,6.36,1,1,2017,6,1,0,17,26,2017-06-01,2017,6,1,0,20,1,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Williamsburg (South Side),Boro Zone,Brooklyn,Williamsburg (South Side),Boro Zone
green,2,2017-06-01T00:04:02.000+08:00,2017-06-01T00:10:53.000+08:00,N,1,17,37,,,,,1,1.39,7.0,0.5,0.5,1.66,0.0,,0.3,9.96,1,1,2017,6,1,0,4,2,2017-06-01,2017,6,1,0,10,53,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Bedford,Boro Zone,Brooklyn,Bushwick South,Boro Zone
green,2,2017-06-01T00:07:13.000+08:00,2017-06-01T00:13:24.000+08:00,N,1,210,210,,,,,2,0.95,6.0,0.5,0.5,1.7,0.0,,0.3,9.0,1,1,2017,6,1,0,7,13,2017-06-01,2017,6,1,0,13,24,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Sheepshead Bay,Boro Zone,Brooklyn,Sheepshead Bay,Boro Zone
green,2,2017-06-01T00:03:42.000+08:00,2017-06-01T00:11:12.000+08:00,N,1,196,198,,,,,2,3.16,11.0,0.5,0.5,0.0,0.0,,0.3,12.3,2,1,2017,6,1,0,3,42,2017-06-01,2017,6,1,0,11,12,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Queens,Rego Park,Boro Zone,Queens,Ridgewood,Boro Zone
green,2,2017-06-01T00:00:43.000+08:00,2017-06-01T00:07:02.000+08:00,N,1,82,129,,,,,1,0.99,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1,2017,6,1,0,0,43,2017-06-01,2017,6,1,0,7,2,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Jackson Heights,Boro Zone
green,2,2017-06-01T00:06:34.000+08:00,2017-06-01T00:06:42.000+08:00,N,5,168,168,,,,,1,0.05,15.0,0.0,0.0,0.0,0.0,,0.0,15.0,1,2,2017,6,1,0,6,34,2017-06-01,2017,6,1,0,6,42,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Negotiated fare,Bronx,Mott Haven/Port Morris,Boro Zone,Bronx,Mott Haven/Port Morris,Boro Zone
green,2,2017-06-01T00:01:39.000+08:00,2017-06-01T00:10:56.000+08:00,N,1,74,152,,,,,1,1.94,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,1,1,2017,6,1,0,1,39,2017-06-01,2017,6,1,0,10,56,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Manhattan,East Harlem North,Boro Zone,Manhattan,Manhattanville,Boro Zone
green,2,2017-06-01T00:03:35.000+08:00,2017-06-01T00:14:14.000+08:00,N,1,74,247,,,,,1,2.94,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1,2017,6,1,0,3,35,2017-06-01,2017,6,1,0,14,14,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Manhattan,East Harlem North,Boro Zone,Bronx,West Concourse,Boro Zone
green,2,2017-06-01T00:00:03.000+08:00,2017-06-01T00:05:57.000+08:00,N,1,255,112,,,,,5,1.32,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1,2017,6,1,0,0,3,2017-06-01,2017,6,1,0,5,57,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Greenpoint,Boro Zone
green,2,2017-06-01T00:00:43.000+08:00,2017-06-01T00:05:46.000+08:00,N,1,7,7,,,,,1,1.08,6.0,0.5,0.5,2.19,0.0,,0.3,9.49,1,1,2017,6,1,0,0,43,2017-06-01,2017,6,1,0,5,46,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Queens,Astoria,Boro Zone,Queens,Astoria,Boro Zone
green,2,2017-06-01T00:00:47.000+08:00,2017-06-01T00:06:12.000+08:00,N,1,82,83,,,,,1,1.08,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1,2017,6,1,0,0,47,2017-06-01,2017,6,1,0,6,12,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Elmhurst/Maspeth,Boro Zone
green,2,2017-06-01T00:01:45.000+08:00,2017-06-01T00:10:08.000+08:00,N,1,74,168,,,,,1,1.8,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,2017,6,1,0,1,45,2017-06-01,2017,6,1,0,10,8,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Manhattan,East Harlem North,Boro Zone,Bronx,Mott Haven/Port Morris,Boro Zone
green,2,2017-06-01T00:06:29.000+08:00,2017-06-01T00:11:41.000+08:00,N,1,95,95,,,,,1,1.22,6.5,0.5,0.5,1.0,0.0,,0.3,8.8,1,1,2017,6,1,0,6,29,2017-06-01,2017,6,1,0,11,41,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Queens,Forest Hills,Boro Zone,Queens,Forest Hills,Boro Zone
green,2,2017-06-01T00:06:33.000+08:00,2017-06-01T00:13:40.000+08:00,N,5,136,243,,,,,1,1.76,12.0,0.0,0.0,2.4,0.0,,0.0,14.4,1,2,2017,6,1,0,6,33,2017-06-01,2017,6,1,0,13,40,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Negotiated fare,Bronx,Kingsbridge Heights,Boro Zone,Manhattan,Washington Heights North,Boro Zone
green,2,2017-06-01T00:01:23.000+08:00,2017-06-01T00:05:21.000+08:00,N,1,255,256,,,,,1,0.87,5.0,0.5,0.5,3.0,0.0,,0.3,9.3,1,1,2017,6,1,0,1,23,2017-06-01,2017,6,1,0,5,21,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Williamsburg (South Side),Boro Zone
green,2,2017-06-01T00:01:39.000+08:00,2017-06-01T00:08:39.000+08:00,N,1,41,42,,,,,1,1.24,7.0,0.5,0.5,1.0,0.0,,0.3,9.3,1,1,2017,6,1,0,1,39,2017-06-01,2017,6,1,0,8,39,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Central Harlem North,Boro Zone
green,2,2017-06-01T00:01:51.000+08:00,2017-06-01T00:08:15.000+08:00,N,1,181,52,,,,,2,1.89,7.5,0.5,0.5,2.2,0.0,,0.3,11.0,1,1,2017,6,1,0,1,51,2017-06-01,2017,6,1,0,8,15,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Park Slope,Boro Zone,Brooklyn,Cobble Hill,Boro Zone
green,2,2017-06-01T00:08:56.000+08:00,2017-06-01T00:13:09.000+08:00,N,1,145,112,,,,,1,1.49,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,1,1,2017,6,1,0,8,56,2017-06-01,2017,6,1,0,13,9,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Queens,Long Island City/Hunters Point,Boro Zone,Brooklyn,Greenpoint,Boro Zone
green,2,2017-06-01T00:12:07.000+08:00,2017-06-01T00:12:07.000+08:00,N,1,255,43,,,,,1,9.49,31.0,0.5,0.5,8.08,0.0,,0.3,40.38,1,1,2017,6,1,0,12,7,2017-06-01,2017,6,1,0,12,7,2017-06-01,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Manhattan,Central Park,Yellow Zone
green,2,2017-06-01T00:00:45.000+08:00,2017-06-01T00:07:40.000+08:00,N,1,65,97,,,,,1,1.2,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1,2017,6,1,0,0,45,2017-06-01,2017,6,1,0,7,40,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Brooklyn,Fort Greene,Boro Zone
green,2,2017-06-01T00:02:05.000+08:00,2017-06-01T00:05:42.000+08:00,N,1,65,65,,,,,1,0.53,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1,2017,6,1,0,2,5,2017-06-01,2017,6,1,0,5,42,2017-06-01,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
