914758,2013-01-01 00:00:00,START,-73.866131999999993,40.771090000000001,6,-1
924999,2013-01-01 00:00:00,START,-73.870831999999993,40.773767999999997,1,-1
926228,2013-01-01 00:00:00,START,-73.871170000000006,40.773915000000002,1,-1
914156,2013-01-01 00:00:00,START,-73.929347000000007,40.807727999999997,2,-1
11644342,2013-01-01 00:00:00,START,-73.934552999999994,40.750957,5,-1
11643744,2013-01-01 00:00:00,START,-73.946133000000003,40.781348000000001,1,-1
900407,2013-01-01 00:00:00,START,-73.951070000000001,40.778756999999999,1,-1
11642477,2013-01-01 00:00:00,START,-73.954116999999997,40.778342000000002,2,-1
899805,2013-01-01 00:00:00,START,-73.955387000000002,40.779727000000001,1,-1
897978,2013-01-01 00:00:00,START,-73.955928,40.781888000000002,3,-1
899827,2013-01-01 00:00:00,START,-73.956526999999994,40.716974999999998,1,-1
899206,2013-01-01 00:00:00,START,-73.969837999999996,40.797359999999998,1,-1
914819,2013-01-01 00:00:00,START,-73.970205000000007,40.762054999999997,5,-1
11642454,2013-01-01 00:00:00,START,-73.970429999999993,40.796531999999999,1,-1
967145,2013-01-01 00:00:00,START,-73.970512999999997,40.794226999999999,2,-1
899203,2013-01-01 00:00:00,START,-73.973001999999994,40.793140000000001,1,-1
899207,2013-01-01 00:00:00,START,-73.973906999999997,40.747866999999999,5,-1
898585,2013-01-01 00:00:00,START,-73.975722000000005,40.781692,1,-1
925338,2013-01-01 00:00:00,START,-73.976758000000004,40.759188000000002,1,-1
921507,2013-01-01 00:00:00,START,-73.977315000000004,40.758752000000001,5,-1
14592802,2013-01-01 00:00:00,START,-73.978142000000005,40.751530000000002,5,-1
899803,2013-01-01 00:00:00,START,-73.978322000000006,40.778089999999999,5,-1
899183,2013-01-01 00:00:00,START,-73.981577000000001,40.767632999999996,2,-1
918365,2013-01-01 00:00:00,START,-73.982602,40.756967000000003,1,-1
930563,2013-01-01 00:00:00,START,-73.983597000000003,40.751641999999997,6,-1
921466,2013-01-01 00:00:00,START,-73.984016999999994,40.744182000000002,5,-1
899178,2013-01-01 00:00:00,START,-73.984872999999993,40.753725000000003,1,-1
925341,2013-01-01 00:00:00,START,-73.985434999999995,40.720556999999999,5,-1
917279,2013-01-01 00:00:00,START,-73.985607000000002,40.744261999999999,4,-1
911186,2013-01-01 00:00:00,START,-73.986131999999998,40.722607000000004,3,-1
936657,2013-01-01 00:00:00,START,-73.986701999999994,40.751235000000001,2,-1
909377,2013-01-01 00:00:00,START,-73.987489999999994,40.760182,1,-1
11643720,2013-01-01 00:00:00,START,-73.988972000000004,40.726911999999999,5,-1
11642459,2013-01-01 00:00:00,START,-73.989189999999994,40.741267000000001,1,-1
11643078,2013-01-01 00:00:00,START,-73.989351999999997,40.773105000000001,1,-1
900404,2013-01-01 00:00:00,START,-73.989616999999996,40.729987000000001,1,-1
915169,2013-01-01 00:00:00,START,-73.989845000000003,40.758040000000001,3,-1
11642476,2013-01-01 00:00:00,START,-73.990606999999997,40.734994999999998,1,-1
928770,2013-01-01 00:00:00,START,-73.990780000000001,40.76088,1,-1
923046,2013-01-01 00:00:00,START,-73.991325000000003,40.760176999999999,1,-1
11644343,2013-01-01 00:00:00,START,-73.991817999999995,40.695587000000003,1,-1
909359,2013-01-01 00:00:00,START,-73.992198000000002,40.758946999999999,2,-1
6910527,2013-01-01 00:00:00,START,-73.992953,40.733986000000002,1,-1
920360,2013-01-01 00:00:00,START,-73.995054999999994,40.760187000000002,1,-1
899801,2013-01-01 00:00:00,START,-73.996132000000003,40.739567000000001,3,-1
921511,2013-01-01 00:00:00,START,-73.997810000000001,40.721516999999999,1,-1
14592794,2013-01-01 00:00:00,START,-73.998580000000004,40.755332000000003,1,-1
2451186,2013-01-01 00:00:00,START,-73.999880000000005,40.743344999999998,1,-1
898588,2013-01-01 00:00:00,START,-74.000529999999998,40.737341999999998,4,-1
11642481,2013-01-01 00:00:00,START,-74.001401999999999,40.722611999999998,6,-1
11643085,2013-01-01 00:00:00,START,-74.001729999999995,40.719386999999998,2,-1
914161,2013-01-01 00:00:00,START,-74.003,40.725121999999999,1,-1
914784,2013-01-01 00:00:00,START,-74.004644999999996,40.721266999999997,5,-1
909814,2013-01-01 00:00:00,START,-74.006219999999999,40.723796999999998,1,-1
914779,2013-01-01 00:00:00,START,-74.006356999999994,40.739652,1,-1
927491,2013-01-01 00:00:00,START,-74.006929999999997,40.740765000000003,6,-1
14592795,2013-01-01 00:00:00,START,-74.00797,40.747202000000001,6,-1
913257,2013-01-01 00:00:00,START,-74.008217000000002,40.716721999999997,1,-1
11643716,2013-01-01 00:00:00,START,-74.009752000000006,40.706432,4,-1
2416662,2013-01-01 00:00:01,START,-73.956512000000004,40.717005,2,-1
7052541,2013-01-01 00:00:02,START,-73.978498999999999,40.741289999999999,2,-1
7105230,2013-01-01 00:00:03,START,-74.002673000000001,40.734318000000002,1,-1
6898313,2013-01-01 00:00:08,START,-73.989029000000002,40.733983000000002,1,-1
2402917,2013-01-01 00:00:09,START,-73.955996999999996,40.719442999999998,2,-1
6877650,2013-01-01 00:00:09,START,-73.992206999999993,40.725123000000004,1,-1
2465754,2013-01-01 00:00:10,START,-73.979181999999994,40.740397000000002,2,-1
6133154,2013-01-01 00:00:11,START,-73.996643000000006,40.732187000000003,1,-1
6883767,2013-01-01 00:00:13,START,-73.988737,40.718876999999999,2,-1
7085397,2013-01-01 00:00:14,START,-73.975442999999999,40.749656000000002,1,-1
2403817,2013-01-01 00:00:14,START,-73.993736999999996,40.752231000000002,1,-1
