VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-02-01 00:01:01,2016-02-01 00:07:10,N,1,-73.939384460449219,40.805278778076172,-73.947799682617188,40.804428100585938,1,1.16,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-02-01 00:00:27,2016-02-01 00:05:31,N,1,-73.955490112304688,40.8045654296875,-73.945198059082031,40.808010101318359,1,.82,5.5,0.5,0.5,0,0,,0.3,6.8,1,1
2,2016-02-01 00:01:35,2016-02-01 00:06:16,N,1,-73.942466735839844,40.817230224609375,-73.952491760253906,40.799945831298828,1,1.32,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-02-01 00:00:50,2016-02-01 00:10:36,N,1,-73.890914916992188,40.746532440185547,-73.926437377929688,40.759326934814453,1,2.13,9.5,0.5,0.5,2.7,0,,0.3,13.5,1,1
2,2016-02-01 00:43:45,2016-02-01 00:46:54,N,1,-73.940338134765625,40.840526580810547,-73.946159362792969,40.839309692382813,1,.78,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-02-01 00:23:06,2016-02-01 00:28:33,N,1,-73.844192504882813,40.721290588378906,-73.850959777832031,40.733310699462891,1,1.03,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-02-01 00:41:28,2016-02-01 00:48:55,N,1,-73.844253540039062,40.721382141113281,-73.858283996582031,40.738941192626953,1,1.73,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-02-01 00:18:58,2016-02-01 00:23:49,N,1,-73.950523376464844,40.797531127929687,-73.964469909667969,40.802421569824219,2,.86,5.5,0.5,0.5,0.9,0,,0.3,7.7,1,1
2,2016-02-01 00:57:15,2016-02-01 01:03:50,N,1,-73.952651977539063,40.742477416992188,-73.955238342285156,40.722751617431641,2,1.78,7.5,0.5,0.5,2.64,0,,0.3,11.44,1,1
2,2016-02-01 00:29:49,2016-02-01 00:33:38,N,1,-73.91802978515625,40.770416259765625,-73.934043884277344,40.774909973144531,1,.92,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-02-01 00:39:16,2016-02-01 00:45:08,N,1,-73.923843383789063,40.7716064453125,-73.908561706542969,40.763111114501953,1,1.41,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-02-01 00:01:33,2016-02-01 00:09:37,N,1,-73.910942077636719,40.768791198730469,-73.885757446289062,40.741443634033203,1,2.61,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2016-02-01 00:02:32,2016-02-01 00:09:07,N,1,-73.92071533203125,40.773311614990234,-73.919113159179687,40.755832672119141,2,1.25,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-02-01 00:11:28,2016-02-01 23:53:23,N,1,-73.988922119140625,40.670215606689453,-73.970634460449219,40.632915496826172,1,3.47,12,0.5,0.5,2.66,0,,0.3,15.96,1,1
2,2016-02-01 00:37:02,2016-02-01 00:40:52,N,1,-73.925544738769531,40.761642456054688,-73.915985107421875,40.754596710205078,2,.82,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-02-01 00:04:55,2016-02-01 00:19:44,N,1,-73.830162048339844,40.713706970214844,-73.935516357421875,40.767402648925781,1,9.90,27.5,0.5,0.5,4,0,,0.3,32.8,1,1
2,2016-02-01 00:38:57,2016-02-01 00:45:21,N,1,-73.844444274902344,40.721469879150391,-73.816558837890625,40.731960296630859,1,2.10,8,0.5,0.5,1.86,0,,0.3,11.16,1,1
2,2016-02-01 00:22:33,2016-02-01 00:35:04,N,1,-73.940338134765625,40.840591430664062,-73.974716186523438,40.792533874511719,1,4.55,15.5,0.5,0.5,0,0,,0.3,16.8,1,1
2,2016-02-01 00:49:07,2016-02-01 01:04:17,N,1,-73.830421447753906,40.759574890136719,-73.886100769042969,40.747348785400391,1,3.04,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
