,Dispatching_base_num,Pickup_date,locationID
158,B00013,2015-02-01 23:45:00,
159,B00013,2015-02-01 23:57:00,
160,B00013,2015-02-02 00:00:00,
161,B00013,2015-02-02 00:00:00,
162,B00013,2015-02-02 00:00:00,
163,B00013,2015-02-02 00:00:00,
164,B00013,2015-02-02 00:00:00,
165,B00013,2015-02-02 00:00:00,
166,B00013,2015-02-02 00:05:00,
167,B00013,2015-02-02 00:28:00,
168,B00013,2015-02-02 00:29:00,
169,B00013,2015-02-02 00:35:00,
170,B00013,2015-02-02 01:47:00,
171,B00013,2015-02-02 02:03:00,
172,B00013,2015-02-02 02:43:00,
173,B00013,2015-02-02 03:30:00,
174,B00013,2015-02-02 03:57:00,
175,B00013,2015-02-02 04:30:00,
176,B00013,2015-02-02 04:30:00,
177,B00013,2015-02-02 05:19:00,
178,B00013,2015-02-02 05:30:00,
179,B00013,2015-02-02 05:45:00,
180,B00013,2015-02-02 05:45:00,
181,B00013,2015-02-02 05:50:00,
182,B00013,2015-02-02 06:00:00,
183,B00013,2015-02-02 06:08:00,
184,B00013,2015-02-02 06:12:00,
185,B00013,2015-02-02 06:30:00,
186,B00013,2015-02-02 06:56:00,
187,B00013,2015-02-02 07:00:00,
188,B00013,2015-02-02 07:00:00,
189,B00013,2015-02-02 07:14:00,
190,B00013,2015-02-02 07:26:00,
191,B00013,2015-02-02 07:36:00,
192,B00013,2015-02-02 07:45:00,
193,B00013,2015-02-02 08:00:00,
194,B00013,2015-02-02 08:00:00,
195,B00013,2015-02-02 08:07:00,
196,B00013,2015-02-02 08:30:00,
197,B00013,2015-02-02 08:35:00,
198,B00013,2015-02-02 08:45:00,
199,B00013,2015-02-02 09:00:00,
200,B00013,2015-02-02 10:00:00,
201,B00013,2015-02-02 10:02:00,
202,B00013,2015-02-02 10:02:00,
203,B00013,2015-02-02 10:15:00,
204,B00013,2015-02-02 10:30:00,
205,B00013,2015-02-02 10:31:00,
206,B00013,2015-02-02 10:38:00,
207,B00013,2015-02-02 10:50:00,
208,B00013,2015-02-02 10:50:00,
209,B00013,2015-02-02 11:00:00,
210,B00013,2015-02-02 11:08:00,
211,B00013,2015-02-02 11:10:00,
212,B00013,2015-02-02 11:16:00,
213,B00013,2015-02-02 11:19:00,
214,B00013,2015-02-02 11:20:00,
215,B00013,2015-02-02 11:22:00,
216,B00013,2015-02-02 11:22:00,
217,B00013,2015-02-02 11:40:00,
218,B00013,2015-02-02 11:45:00,
219,B00013,2015-02-02 11:46:00,
220,B00013,2015-02-02 11:48:00,
221,B00013,2015-02-02 11:53:00,
222,B00013,2015-02-02 11:56:00,
223,B00013,2015-02-02 12:00:00,
224,B00013,2015-02-02 12:00:00,
225,B00013,2015-02-02 12:04:00,
226,B00013,2015-02-02 12:28:00,
227,B00013,2015-02-02 12:30:00,
228,B00013,2015-02-02 12:32:00,
229,B00013,2015-02-02 12:34:00,
230,B00013,2015-02-02 12:45:00,
231,B00013,2015-02-02 12:51:00,
232,B00013,2015-02-02 13:00:00,
233,B00013,2015-02-02 13:00:00,
234,B00013,2015-02-02 13:09:00,
235,B00013,2015-02-02 13:09:00,
236,B00013,2015-02-02 13:16:00,
