,Trip_Pickup_DateTime,Passenger_Count
167,2009-01-23 19:52:00,2.0
168,2009-01-23 08:29:00,1.0
169,2009-01-25 03:16:00,1.0
170,2009-01-06 15:33:59,3.0
171,2009-01-18 22:18:32,1.0
172,2009-01-24 21:24:00,2.0
173,2009-01-23 19:47:00,2.0
174,2009-01-25 07:11:00,2.0
175,2009-01-23 16:12:00,1.0
176,2009-01-25 11:53:00,1.0
177,2009-01-25 00:46:00,1.0
178,2009-01-25 09:31:00,1.0
179,2009-01-18 23:22:00,4.0
180,2009-01-18 22:33:46,2.0
181,2009-01-25 00:30:00,5.0
182,2009-01-25 02:51:00,5.0
183,2009-01-25 03:04:00,1.0
184,2009-01-25 12:57:00,1.0
185,2009-01-22 23:27:00,5.0
186,2009-01-25 03:10:00,1.0
187,2009-01-24 23:02:00,4.0
188,2009-01-25 00:42:00,1.0
189,2009-01-18 22:22:48,4.0
190,2009-01-24 23:54:00,2.0
191,2009-01-18 19:50:32,1.0
192,2009-01-18 23:30:08,2.0
193,2009-01-24 22:14:00,5.0
194,2009-01-25 04:11:00,1.0
195,2009-01-25 02:36:00,1.0
196,2009-01-25 10:21:00,1.0
197,2009-01-25 09:09:00,5.0
198,2009-01-25 15:03:00,1.0
199,2009-01-25 18:09:54,1.0
200,2009-01-24 19:52:00,2.0
201,2009-01-25 13:38:00,2.0
202,2009-01-25 02:07:00,5.0
203,2009-01-25 12:16:00,1.0
204,2009-01-25 15:09:00,2.0
205,2009-01-25 12:24:00,5.0
206,2009-01-22 19:35:40,1.0
207,2009-01-24 19:48:00,1.0
208,2009-01-24 16:21:00,4.0
209,2009-01-25 10:09:00,1.0
210,2009-01-25 19:03:27,1.0
211,2009-01-22 19:27:03,1.0
212,2009-01-24 16:23:00,1.0
213,2009-01-22 17:58:17,1.0
214,2009-01-24 22:12:00,3.0
215,2009-01-24 21:06:00,1.0
216,2009-01-25 00:42:00,1.0
217,2009-01-22 18:53:03,1.0
218,2009-01-25 16:08:00,1.0
219,2009-01-25 00:25:00,1.0
220,2009-01-24 14:56:50,1.0
221,2009-01-18 18:46:26,2.0
222,2009-01-24 23:34:00,1.0
223,2009-01-24 18:44:00,2.0
224,2009-01-25 10:51:00,4.0
225,2009-01-25 14:03:00,2.0
226,2009-01-24 23:37:00,1.0
227,2009-01-25 18:06:00,4.0
228,2009-01-25 18:10:00,2.0
229,2009-01-24 19:33:00,2.0
230,2009-01-25 17:23:00,1.0
231,2009-01-24 20:20:00,3.0
232,2009-01-25 18:41:33,1.0
233,2009-01-25 21:42:00,1.0
234,2009-01-25 19:35:00,3.0
235,2009-01-18 20:21:51,2.0
236,2009-01-23 21:16:00,1.0
237,2009-01-24 17:44:00,1.0
238,2009-01-24 22:47:00,1.0
239,2009-01-26 06:58:00,1.0
240,2009-01-25 16:35:00,1.0
241,2009-01-25 23:30:00,1.0
242,2009-01-25 19:49:00,1.0
243,2009-01-26 07:23:00,1.0
244,2009-01-26 07:20:00,1.0
245,2009-01-26 09:28:00,1.0
246,2009-01-25 18:58:00,1.0
247,2009-01-24 23:12:00,1.0
248,2009-01-25 12:09:00,5.0
249,2009-01-23 15:31:00,1.0
250,2009-01-18 13:56:43,1.0
251,2009-01-22 17:58:00,2.0
252,2009-01-23 08:58:00,5.0
253,2009-01-22 22:46:00,5.0
254,2009-01-22 19:45:00,3.0
255,2009-01-22 20:02:00,1.0
256,2009-01-22 23:48:00,2.0
257,2009-01-18 08:14:44,1.0
258,2009-01-23 07:29:00,5.0
259,2009-01-22 22:00:00,1.0
260,2009-01-23 18:20:00,1.0
261,2009-01-23 19:13:00,1.0
262,2009-01-23 21:29:00,1.0
263,2009-01-23 21:17:00,2.0
264,2009-01-18 11:56:50,1.0
265,2009-01-23 23:58:00,1.0
266,2009-01-24 00:14:00,5.0
267,2009-01-23 22:02:00,1.0
268,2009-01-23 21:20:00,3.0
269,2009-01-18 19:42:14,1.0
270,2009-01-23 21:22:00,1.0
271,2009-01-18 20:56:53,1.0
272,2009-01-23 01:19:00,3.0
273,2009-01-23 17:23:00,2.0
274,2009-01-22 22:57:00,1.0
275,2009-01-24 10:53:00,2.0
276,2009-01-23 19:57:00,1.0
277,2009-01-23 23:07:00,5.0
278,2009-01-23 21:54:00,2.0
279,2009-01-23 16:50:00,5.0
280,2009-01-18 20:32:13,1.0
281,2009-01-24 03:52:00,5.0
