taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
yellow,1,2017-04-01T00:00:15.000+08:00,2017-04-01T00:07:01.000+08:00,N,1,48,100,,,,,1,0.9,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2,1,0,0,15,2017-04-01,2017,4,1,0,7,1,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Manhattan,Clinton East,Yellow Zone,Manhattan,Garment District,Yellow Zone
yellow,2,2017-04-01T00:00:07.000+08:00,2017-04-01T00:30:46.000+08:00,N,1,234,116,,,,,5,8.1,28.5,0.5,0.5,5.96,0.0,0.3,35.76,1,1,0,0,7,2017-04-01,2017,4,1,0,30,46,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Union Sq,Yellow Zone,Manhattan,Hamilton Heights,Boro Zone
yellow,1,2017-04-01T00:00:04.000+08:00,2017-04-01T00:05:47.000+08:00,N,1,161,162,,,,,2,0.7,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2,1,0,0,4,2017-04-01,2017,4,1,0,5,47,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Manhattan,Midtown Center,Yellow Zone,Manhattan,Midtown East,Yellow Zone
yellow,2,2017-04-01T00:00:02.000+08:00,2017-04-01T00:12:11.000+08:00,N,1,170,79,,,,,1,1.71,9.5,0.5,0.5,2.16,0.0,0.3,12.96,1,1,0,0,2,2017-04-01,2017,4,1,0,12,11,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Murray Hill,Yellow Zone,Manhattan,East Village,Yellow Zone
yellow,2,2017-04-01T00:00:03.000+08:00,2017-04-01T00:13:17.000+08:00,N,1,75,116,,,,,5,3.54,13.0,0.5,0.5,2.0,0.0,0.3,16.3,1,1,0,0,3,2017-04-01,2017,4,1,0,13,17,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,East Harlem South,Boro Zone,Manhattan,Hamilton Heights,Boro Zone
yellow,2,2017-04-01T00:00:04.000+08:00,2017-04-01T00:18:51.000+08:00,N,1,142,79,,,,,1,3.79,15.5,0.5,0.5,5.04,0.0,0.3,21.84,1,1,0,0,4,2017-04-01,2017,4,1,0,18,51,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,East Village,Yellow Zone
yellow,2,2017-04-01T00:00:04.000+08:00,2017-04-01T00:05:52.000+08:00,N,1,234,161,,,,,3,1.41,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1,1,0,0,4,2017-04-01,2017,4,1,0,5,52,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Union Sq,Yellow Zone,Manhattan,Midtown Center,Yellow Zone
yellow,2,2017-04-01T00:00:13.000+08:00,2017-04-01T00:11:38.000+08:00,N,1,161,263,,,,,5,2.72,10.5,0.5,0.5,2.36,0.0,0.3,14.16,1,1,0,0,13,2017-04-01,2017,4,1,0,11,38,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Midtown Center,Yellow Zone,Manhattan,Yorkville West,Yellow Zone
yellow,2,2017-04-01T00:00:13.000+08:00,2017-04-01T00:05:16.000+08:00,N,1,100,90,,,,,1,0.96,5.5,0.5,0.5,1.36,0.0,0.3,8.16,1,1,0,0,13,2017-04-01,2017,4,1,0,5,16,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Garment District,Yellow Zone,Manhattan,Flatiron,Yellow Zone
yellow,2,2017-04-01T00:00:18.000+08:00,2017-04-01T00:11:58.000+08:00,N,1,113,137,,,,,1,1.4,9.0,0.5,0.5,1.0,0.0,0.3,11.3,1,1,0,0,18,2017-04-01,2017,4,1,0,11,58,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Kips Bay,Yellow Zone
