taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2017-05-01T00:00:11.000+08:00,2017-05-01T00:09:21.000+08:00,N,1,68,107,"","","","",1,1.6,8.5,0.5,0.5,0.0,0.0,0.3,9.8,2
yellow,1,2017-05-01T00:00:13.000+08:00,2017-05-01T00:08:37.000+08:00,N,1,249,4,"","","","",1,1.5,8.0,0.5,0.5,1.0,0.0,0.3,10.3,1
yellow,2,2017-05-01T00:00:14.000+08:00,2017-05-01T00:05:02.000+08:00,N,1,231,13,"","","","",1,0.69,5.0,0.5,0.5,1.58,0.0,0.3,7.88,1
yellow,2,2017-05-01T00:00:14.000+08:00,2017-05-01T00:12:41.000+08:00,N,1,113,43,"","","","",1,4.18,14.0,0.5,0.5,0.0,0.0,0.3,15.3,2
yellow,2,2017-05-01T00:00:14.000+08:00,2017-05-01T00:06:48.000+08:00,N,1,249,186,"","","","",1,1.38,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2
yellow,1,2017-05-01T00:00:15.000+08:00,2017-05-01T00:07:01.000+08:00,N,1,141,263,"","","","",3,1.5,7.0,0.5,0.5,1.65,0.0,0.3,9.95,1
yellow,2,2017-05-01T00:00:15.000+08:00,2017-05-01T00:02:49.000+08:00,N,1,141,262,"","","","",2,0.74,4.5,0.5,0.5,1.16,0.0,0.3,6.96,1
yellow,2,2017-05-01T00:00:16.000+08:00,2017-05-01T00:05:40.000+08:00,N,1,239,142,"","","","",2,1.06,6.0,0.5,0.5,1.46,0.0,0.3,8.76,1
yellow,2,2017-05-01T00:00:17.000+08:00,2017-05-01T00:17:32.000+08:00,N,1,148,142,"","","","",2,4.47,15.5,0.5,0.5,1.68,0.0,0.3,18.48,1
yellow,1,2017-05-01T00:00:18.000+08:00,2017-05-01T00:16:49.000+08:00,N,1,145,7,"","","","",1,2.6,12.5,0.5,0.5,0.0,0.0,0.3,13.8,2
yellow,2,2017-05-01T00:00:18.000+08:00,2017-05-01T00:09:59.000+08:00,N,1,229,75,"","","","",3,2.82,10.5,0.5,0.5,0.0,0.0,0.3,11.8,2
yellow,2,2017-05-01T00:00:18.000+08:00,2017-05-01T00:09:31.000+08:00,N,1,238,238,"","","","",1,1.85,9.0,0.5,0.5,2.06,0.0,0.3,12.36,1
yellow,1,2017-05-01T00:00:19.000+08:00,2017-05-01T00:24:58.000+08:00,N,1,114,106,"","","","",1,5.2,21.0,0.5,0.5,4.45,0.0,0.3,26.75,1
yellow,1,2017-05-01T00:00:19.000+08:00,2017-05-01T00:09:25.000+08:00,N,1,48,24,"","","","",2,3.1,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2
yellow,1,2017-05-01T00:00:20.000+08:00,2017-05-01T00:14:56.000+08:00,N,1,237,164,"","","","",1,2.7,12.0,0.5,0.5,0.0,0.0,0.3,13.3,2
yellow,2,2017-05-01T00:00:22.000+08:00,2017-05-01T00:18:10.000+08:00,N,1,79,43,"","","","",2,3.87,15.5,0.5,0.5,0.0,0.0,0.3,16.8,2
yellow,1,2017-05-01T00:00:23.000+08:00,2017-05-01T00:14:17.000+08:00,N,1,158,161,"","","","",3,2.2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2
