taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_minute,pickup_second,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second
yellow,1,2016-01-01T00:00:09.000+08:00,2016-01-01T00:19:03.000+08:00,N,1,0,0,-73.99713134765625,40.736961364746094,-73.92842102050781,40.75558090209961,3,5.3,18.0,0.5,0.5,3.85,0.0,0.0,0.3,23.15,1,0,CMT,"Creative Mobile Technologies, LLC",Jan,January,Credit card,,,,,,,,2016,1,1,0,0,9,2016,1,1,0,19,3
yellow,2,2016-01-01T00:01:07.000+08:00,2016-01-01T00:05:04.000+08:00,N,1,0,0,-73.99197387695312,40.726478576660156,-74.00308227539062,40.722049713134766,2,0.94,5.0,0.5,0.5,0.0,0.0,0.0,0.3,6.3,2,0,VFI,VeriFone Inc.,Jan,January,Cash,,,,,,,,2016,1,1,0,1,7,2016,1,1,0,5,4
yellow,1,2016-01-01T00:01:10.000+08:00,2016-01-01T00:36:55.000+08:00,N,1,0,0,-73.99944305419922,40.729835510253906,-73.96417999267578,40.80315399169922,2,6.0,25.5,0.5,0.5,5.36,0.0,0.0,0.3,32.16,1,0,CMT,"Creative Mobile Technologies, LLC",Jan,January,Credit card,,,,,,,,2016,1,1,0,1,10,2016,1,1,0,36,55
yellow,1,2016-01-01T00:00:30.000+08:00,2016-01-01T00:15:47.000+08:00,N,1,0,0,-73.99058532714844,40.745880126953125,-73.96988677978516,40.801265716552734,1,5.1,17.5,0.5,0.5,2.82,0.0,0.0,0.3,21.62,1,0,CMT,"Creative Mobile Technologies, LLC",Jan,January,Credit card,,,,,,,,2016,1,1,0,0,30,2016,1,1,0,15,47
yellow,2,2016-01-01T00:00:15.000+08:00,2016-01-01T00:06:31.000+08:00,N,1,0,0,-73.94010925292969,40.75115203857422,-73.93002319335938,40.767051696777344,1,1.56,7.5,0.5,0.5,0.0,0.0,0.0,0.3,8.8,2,0,VFI,VeriFone Inc.,Jan,January,Cash,,,,,,,,2016,1,1,0,0,15,2016,1,1,0,6,31
yellow,2,2016-01-01T00:01:06.000+08:00,2016-01-01T00:26:34.000+08:00,N,1,0,0,-74.01099395751953,40.7088737487793,-73.98805236816406,40.74932098388672,1,3.18,17.0,0.5,0.5,0.0,0.0,0.0,0.3,18.3,2,0,VFI,VeriFone Inc.,Jan,January,Cash,,,,,,,,2016,1,1,0,1,6,2016,1,1,0,26,34
yellow,1,2016-01-01T00:00:49.000+08:00,2016-01-01T00:13:15.000+08:00,N,1,0,0,-73.95392608642578,40.766944885253906,-73.9244613647461,40.861392974853516,2,8.7,25.0,0.5,0.5,0.0,0.0,0.0,0.3,26.3,1,0,CMT,"Creative Mobile Technologies, LLC",Jan,January,Credit card,,,,,,,,2016,1,1,0,0,49,2016,1,1,0,13,15
yellow,1,2016-01-01T00:00:07.000+08:00,2016-01-01T00:09:49.000+08:00,N,1,0,0,-73.98916625976562,40.72658920288086,-74.00948333740234,40.71507263183594,1,1.8,9.0,0.5,0.5,0.0,0.0,0.0,0.3,10.3,2,0,CMT,"Creative Mobile Technologies, LLC",Jan,January,Cash,,,,,,,,2016,1,1,0,0,7,2016,1,1,0,9,49
yellow,2,2016-01-01T00:00:30.000+08:00,2016-01-01T00:03:06.000+08:00,N,1,0,0,-73.99234771728516,40.743438720703125,-73.99642181396484,40.746063232421875,1,0.35,4.0,0.5,0.5,1.59,0.0,0.0,0.3,6.89,1,0,VFI,VeriFone Inc.,Jan,January,Credit card,,,,,,,,2016,1,1,0,0,30,2016,1,1,0,3,6
yellow,1,2016-01-01T00:00:09.000+08:00,2016-01-01T00:07:18.000+08:00,N,1,0,0,-73.96391296386719,40.71217346191406,-73.95133209228516,40.71220016479492,2,1.2,7.0,0.5,0.5,0.0,0.0,0.0,0.3,8.3,2,0,CMT,"Creative Mobile Technologies, LLC",Jan,January,Cash,,,,,,,,2016,1,1,0,0,9,2016,1,1,0,7,18
